Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D,Net Income LTM,Market Cap (USD),Cash Flow Yield,Net Debt (USD),EV at Low Date (USD),P/E at Low Date,Debt Years
WPP,WPP plc,"WPP plc, a creative transformation company, provides communications, experience, commerce, and technology services in North America, the United Kingdom, Western Continental Europe, the Asia Pacific, Latin America, Africa, the Middle East, and Cent...",USD,22.91,22.91,2025-12-30,17.62,2025-11-06,-5.7,67.72,2022-02-09,17.62,2025-11-06,74.0,663893,0.0358,2025-12-30,54.0,2025-12-30,54.0,17.62,2025-11-06,2025-12-30,True,1972700000,4987805184,0.1279,5316999936,9163176234,7.1,4.54
WPPGF,WPP plc,"WPP plc, a creative transformation company, provides communications, experience, commerce, and technology services in North America, the United Kingdom, Western Continental Europe, the Asia Pacific, Latin America, Africa, the Middle East, and Cent...",USD,4.76,4.76,2025-12-30,3.62,2025-11-14,-5.1,13.84,2022-02-15,3.62,2025-11-14,73.8,2920,0.036,2025-12-30,46.0,2025-12-30,46.0,3.62,2025-11-14,2025-12-30,True,1972700000,4822068736,0.1271,5316999936,9222120385,7.21,4.54
FRFHF,FAIRFAX FINANCIAL HOLDINGS LTD/ CAN,"Fairfax Financial Holdings Limited, through its subsidiaries, provides property and casualty insurance and reinsurance, and investment management services in the United States, Canada, the Middle East, Asia, and internationally.",USD,1916.53,1916.53,2025-12-30,1325.53,2025-01-13,10.0,1916.53,2025-12-30,,,,9663,0.0138,,,2025-06-13,151.0,1457.89,2025-04-14,2025-12-26,True,15032000000,41245081600,0.0742,2403699712,34847031558,10.37,0.62
MNSKY,MoneySupermarket.com Group PLC/ADR,"MONY Group plc, together with its subsidiaries, engages in the provision of price comparison and lead generation services through its websites and applications in the United Kingdom.",USD,11.0,11.0,2025-12-30,9.14,2025-01-07,12.2,13.12,2022-08-04,9.14,2025-01-07,30.3,23,0.0346,2025-12-23,350.0,2025-12-23,350.0,9.62,2025-04-14,2025-12-23,True,274300000,1439994112,0.0769,37100000,1320003913,15.92,0.37
NVS,NOVARTIS AG,"Novartis AG researches, develops, manufactures, distributes, markets, and sells pharmaceutical medicines in Switzerland and internationally.",USD,138.72,138.72,2025-12-30,93.66,2025-01-02,5.3,139.2,2025-12-29,,,,1641510,0.0121,,,2025-07-01,180.0,104.99,2025-05-14,2025-12-22,True,57767000000,271432335360,0.0478,22353999872,223807980347,20.96,1.31
AIZ,"ASSURANT, INC.","Assurant, Inc. provides protection services to connected devices, homes, and automobiles in North America, Latin America, Europe, and the Asia Pacific.",USD,242.13,242.13,2025-12-30,177.67,2025-04-08,11.8,242.13,2025-12-30,,,,306676,0.0117,,,2025-12-15,251.0,181.76,2025-04-21,2025-12-17,True,3041100000,12010301440,0.081,148099968,9426035032,19.26,0.14
LULU,lululemon athletica inc.,"lululemon athletica inc. , together with its subsidiaries, designs, distributes, and retails technical athletic apparel, footwear, and accessories for women and men under the lululemon brand in the United States, Canada, Mexico, China Mainland, Ho...",USD,210.67,210.67,2025-12-30,159.87,2025-09-12,18.6,511.29,2023-12-29,159.87,2025-09-12,68.7,5039023,0.0236,2025-12-17,96.0,2025-12-17,96.0,159.87,2025-09-12,2025-12-17,True,5194928000,25161062400,0.0593,726931968,19685780238,10.62,0.64
KFRC,KFORCE INC,Kforce Inc. provides professional staffing services and solutions in the United States.,USD,31.39,31.39,2025-12-30,24.22,2025-11-03,5.4,72.1,2021-11-23,24.22,2025-11-03,66.4,238940,0.038,2025-12-17,44.0,2025-12-17,44.0,24.22,2025-11-03,2025-12-17,True,262097000,621020608,0.0968,79828000,536247477,11.21,1.54
SMBC,"SOUTHERN MISSOURI BANCORP, INC.","Southern Missouri Bancorp, Inc.",USD,59.25,59.25,2025-12-30,46.68,2025-04-10,13.4,65.91,2024-11-11,46.68,2025-04-10,29.2,50766,0.0181,2025-12-10,244.0,2025-12-10,244.0,47.44,2025-04-14,2025-12-15,True,195166000,690424320,0.0867,27807000,570549359,12.68,0.34
STBA,S&T BANCORP INC,"S&T Bancorp, Inc. operates as the bank holding company for S&T Bank that provides retail and commercial banking products and services to consumer, commercial, and small business in Pennsylvania and Ohio.",USD,39.57,39.57,2025-12-30,32.01,2025-04-11,7.2,43.31,2024-07-26,32.01,2025-04-11,26.1,210450,0.016,2025-12-10,243.0,2025-12-10,243.0,32.42,2025-04-14,2025-12-12,True,521909000,1548411648,0.0817,42554000,1319859479,12.89,0.29
