Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
WEGE3.SA,WEGE3.SA,Business description unavailable.,BRL,48.51,,2025-12-30,34.26,2025-08-19,37.3,55.43,2024-12-11,34.26,2025-08-19,38.2,8140680,0.0157,2025-12-05,108.0,2025-12-05,108.0,34.26,2025-08-19,2025-12-05,True
EQTL3.SA,EQTL3.SA,Business description unavailable.,BRL,38.5,,2025-12-30,24.61,2025-01-03,8.6,41.11,2025-12-04,37.47,2025-12-22,8.8,7976680,0.0149,,,2025-04-14,101.0,31.57,2025-04-16,2025-12-04,True
CPFE3.SA,CPFE3.SA,Business description unavailable.,BRL,53.29,,2025-12-30,31.0,2025-01-03,35.3,53.29,2025-12-30,,,,2351200,0.0127,,,2025-05-20,137.0,37.22,2025-07-22,2025-11-26,True
BRAP4.SA,BRAP4.SA,Business description unavailable.,BRL,19.9,,2025-12-30,13.09,2025-01-13,32.2,21.81,2023-01-26,13.09,2025-01-13,40.0,5118143,0.0115,2025-11-05,296.0,2025-11-05,296.0,13.4,2025-06-20,2025-11-26,True
CMIG4.SA,CMIG4.SA,Business description unavailable.,BRL,11.2,,2025-12-30,8.73,2025-04-04,4.0,11.73,2025-11-11,10.58,2025-12-11,9.8,12046710,0.0152,,,2025-11-05,215.0,8.91,2025-04-14,2025-11-11,False
ITUB4.SA,ITUB4.SA,Business description unavailable.,BRL,39.23,,2025-12-30,23.19,2025-01-03,9.5,39.73,2025-12-04,37.83,2025-12-17,4.8,23328773,0.0123,,,2025-04-23,110.0,29.03,2025-04-14,2025-11-11,True
RENT3.SA,RENT3.SA,Business description unavailable.,BRL,43.57,,2025-12-30,26.24,2025-02-27,11.8,64.84,2022-11-04,26.24,2025-02-27,59.5,9622116,0.023,2025-04-02,34.0,2025-04-02,34.0,31.9,2025-08-21,2025-11-10,True
CYRE3.SA,CYRE3.SA,Business description unavailable.,BRL,29.62,,2025-12-30,14.37,2025-01-08,4.6,35.31,2025-12-04,28.99,2025-12-29,17.9,5627763,0.0226,,,2025-02-14,37.0,22.26,2025-04-14,2025-11-05,True
FESA4.SA,FESA4.SA,Business description unavailable.,BRL,6.93,,2025-12-30,5.52,2025-08-21,16.7,12.3,2023-03-03,5.52,2025-08-21,55.1,656780,0.0187,2025-10-31,71.0,2025-10-31,71.0,5.52,2025-08-21,2025-10-31,True
VALE3.SA,VALE3.SA,Business description unavailable.,BRL,71.96,,2025-12-30,45.17,2025-04-08,31.5,73.12,2025-12-26,,,,24507083,0.0105,,,2025-10-22,197.0,45.83,2025-06-20,2025-10-29,True
GGBR4.SA,GGBR4.SA,Business description unavailable.,BRL,20.39,,2025-12-30,13.58,2025-04-08,24.6,23.07,2023-01-19,13.58,2025-04-08,41.1,9413150,0.0132,2025-10-17,192.0,2025-10-17,192.0,14.18,2025-05-07,2025-10-29,True
CSNA3.SA,CSNA3.SA,Business description unavailable.,BRL,8.94,,2025-12-30,6.77,2025-08-15,13.2,33.84,2021-05-11,6.77,2025-08-15,80.0,7991266,0.0266,2025-10-27,73.0,2025-10-27,73.0,6.77,2025-08-15,2025-10-27,True
GOAU4.SA,GOAU4.SA,Business description unavailable.,BRL,9.0,,2025-12-30,5.66,2025-04-08,28.2,9.11,2025-12-26,,,,6283271,0.0133,,,2025-10-03,178.0,5.91,2025-05-07,2025-10-20,True
ELET6.SA,ELET6.SA,Business description unavailable.,BRL,52.42,,2025-12-30,27.39,2025-01-03,23.3,55.62,2025-12-04,50.83,2025-12-22,8.6,2282378,0.0136,,,2025-08-11,220.0,29.94,2025-08-05,2025-09-16,True
ELET3.SA,ELET3.SA,Business description unavailable.,BRL,50.61,,2025-12-30,30.61,2025-01-03,-0.6,66.65,2025-12-04,48.65,2025-12-22,27.0,10768716,0.0356,,,2025-04-24,111.0,35.03,2025-07-28,2025-09-15,True
FLRY3.SA,FLRY3.SA,Business description unavailable.,BRL,15.0,,2025-12-30,9.83,2025-02-28,-1.6,20.33,2021-02-02,9.83,2025-02-28,51.6,2998680,0.0168,2025-07-21,143.0,2025-07-21,143.0,11.21,2025-04-14,2025-09-04,True
MGLU3.SA,MGLU3.SA,Business description unavailable.,BRL,8.94,,2025-12-30,5.37,2025-01-13,-2.2,226.75,2021-02-09,5.37,2025-01-13,97.6,20085863,0.0345,2025-02-17,35.0,2025-02-17,35.0,6.3,2025-08-15,2025-09-04,True
MDIA3.SA,MDIA3.SA,Business description unavailable.,BRL,23.96,,2025-12-30,18.26,2025-01-10,-14.2,41.6,2022-10-03,18.26,2025-01-10,56.1,497446,0.0211,2025-04-16,96.0,2025-04-16,96.0,22.11,2025-06-23,2025-09-01,False
ECOR3.SA,ECOR3.SA,Business description unavailable.,BRL,10.6,,2025-12-30,3.89,2025-01-03,35.4,12.34,2021-06-15,3.56,2023-02-10,71.1,4824326,0.0219,2023-03-17,35.0,2025-02-14,42.0,5.79,2025-05-22,2025-08-27,True
ODPV3.SA,ODPV3.SA,Business description unavailable.,BRL,11.2,,2025-12-30,9.62,2025-01-03,-13.5,13.2,2025-09-05,10.81,2025-12-22,18.1,2257590,0.0164,,,2025-08-18,227.0,9.75,2025-04-22,2025-08-25,False
JHSF3.SA,JHSF3.SA,Business description unavailable.,BRL,7.93,,2025-12-30,3.39,2025-02-28,24.3,8.09,2025-12-04,7.55,2025-12-17,6.7,3639453,0.0184,,,2025-04-22,53.0,4.14,2025-04-14,2025-08-18,True
MRVE3.SA,MRVE3.SA,Business description unavailable.,BRL,7.79,,2025-12-30,4.48,2025-03-05,4.6,19.12,2021-01-14,4.48,2025-03-05,76.6,7254740,0.0279,2025-04-22,48.0,2025-04-22,48.0,4.97,2025-04-15,2025-08-07,True
GUAR3.SA,GUAR3.SA,Business description unavailable.,BRL,8.87,,2025-12-30,4.09,2025-01-02,27.8,15.33,2021-06-08,2.64,2023-02-24,82.8,2540006,0.0353,2023-03-09,13.0,2025-03-14,71.0,4.93,2025-04-14,2025-08-07,True
RADL3.SA,RADL3.SA,Business description unavailable.,BRL,23.45,,2025-12-30,12.95,2025-07-15,31.3,28.58,2024-08-05,12.95,2025-07-15,54.7,9585462,0.0194,2025-08-06,22.0,2025-08-06,22.0,12.95,2025-07-15,2025-08-06,True
EMBR3.SA,EMBR3.SA,Business description unavailable.,BRL,88.6,,2025-12-30,55.6,2024-12-30,11.4,89.9,2025-12-23,,,,4140730,0.0197,,,2025-03-05,65.0,60.33,2025-04-22,2025-07-01,True
POMO4.SA,POMO4.SA,Business description unavailable.,BRL,5.97,,2025-12-30,4.61,2025-04-07,-17.5,8.02,2025-09-18,5.51,2025-12-18,31.3,18481054,0.0252,,,2025-06-03,57.0,4.7,2025-04-14,2025-06-16,False
PRIO3.SA,PRIO3.SA,Business description unavailable.,BRL,41.42,,2025-12-30,32.89,2025-04-10,8.6,50.86,2024-04-12,32.89,2025-04-10,35.3,7695146,0.0166,2025-06-11,62.0,2025-06-11,62.0,33.03,2025-04-15,2025-06-11,False
BBDC4.SA,BBDC4.SA,Business description unavailable.,BRL,18.19,,2025-12-30,10.24,2025-01-10,5.3,19.22,2025-11-28,17.63,2025-12-09,8.3,30267303,0.0157,,,2025-05-08,118.0,11.92,2025-04-16,2025-06-03,True
HYPE3.SA,HYPE3.SA,Business description unavailable.,BRL,23.56,,2025-12-30,16.86,2024-12-27,5.0,44.4,2022-10-31,15.71,2024-12-18,64.6,2505100,0.0207,2025-04-24,127.0,2025-04-24,118.0,19.02,2025-04-14,2025-05-27,True
LREN3.SA,LREN3.SA,Business description unavailable.,BRL,13.45,,2025-12-30,10.22,2025-02-26,-9.6,33.58,2021-06-08,9.72,2023-10-30,71.1,19053003,0.0232,2023-11-29,30.0,2025-04-28,61.0,12.13,2025-04-16,2025-05-12,False
MOVI3.SA,MOVI3.SA,Business description unavailable.,BRL,9.76,,2025-12-30,3.08,2025-01-13,17.8,17.74,2021-07-29,3.08,2025-01-13,82.6,4295583,0.0389,2025-03-20,66.0,2025-03-20,66.0,5.32,2025-04-15,2025-05-08,True
