ticker,title,cik
A,"AGILENT TECHNOLOGIES, INC.",1090872
AA,Alcoa Corp,1675149
AAAU,Goldman Sachs Physical Gold ETF,1708646
AACB,Artius II Acquisition Inc.,2034334
AACBR,Artius II Acquisition Inc.,2034334
AACBU,Artius II Acquisition Inc.,2034334
AACG,ATA Creativity Global,1420529
AAL,American Airlines Group Inc.,6201
AAM,AA Mission Acquisition Corp.,2012964
AAM-UN,AA Mission Acquisition Corp.,2012964
AAM-WT,AA Mission Acquisition Corp.,2012964
AAME,ATLANTIC AMERICAN CORP,8177
AAMI,Acadian Asset Management Inc.,1748824
AAMTF,Armada Mercantile Ltd,1327899
AAOI,"APPLIED OPTOELECTRONICS, INC.",1158114
AAON,"AAON, INC.",824142
AAP,ADVANCE AUTO PARTS INC,1158449
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,2023311
AAPI,"Apple iSports Group, Inc.",1134982
AAPL,Apple Inc.,320193
AAQL,Antiaging Quantum Living Inc.,1672571
AARD,"Aardvark Therapeutics, Inc.",1774857
AAS,Antharas Inc,2010218
AASP,Agassi Sports Entertainment Corp.,930245
AAT,"American Assets Trust, Inc.",1500217
AATC,AUTOSCOPE TECHNOLOGIES CORP,943034
AAUAF,ALMADEN MINERALS LTD,1015647
AAUC,Allied Gold Corp,1993344
AAUGD,AERO ENERGY Ltd,1905688
AAVXF,Abivax S.A.,1956827
AAWH,"Ascend Wellness Holdings, Inc.",1756390
AB,ALLIANCEBERNSTEIN HOLDING L.P.,825313
ABAKF,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",790500
ABAT,AMERICAN BATTERY TECHNOLOGY Co,1576873
ABBNY,ABB LTD,1091587
ABBV,AbbVie Inc.,1551152
ABCB,Ameris Bancorp,351569
ABCFF,ABACUS MINING & EXPLORATION CORP,1284237
ABCL,AbCellera Biologics Inc.,1703057
ABCP,AmBase Corp,20639
ABEO,ABEONA THERAPEUTICS INC.,318306
ABEV,AMBEV S.A.,1565025
ABG,ASBURY AUTOMOTIVE GROUP INC,1144980
ABIT,Athena Bitcoin Global,1095146
ABL,"Abacus Global Management, Inc.",1814287
ABLLL,"Abacus Global Management, Inc.",1814287
ABLV,Able View Global Inc.,1957489
ABLVW,Able View Global Inc.,1957489
ABLZF,ABB LTD,1091587
