date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'HII')","('high', 'HII')","('low', 'HII')","('close', 'HII')","('adj_close', 'HII')","('volume', 'HII')","('currency', '')"
2020-01-02,252.0,255.85000610351562,251.00999450683594,255.85000610351562,223.3367919921875,204800,,,,,,,,
2020-01-03,253.1999969482422,263.80999755859375,251.91000366210938,263.5,230.01461791992188,408100,,,,,,,,
2020-01-06,265.9700012207031,267.2699890136719,262.8599853515625,265.0,231.32398986816406,454500,,,,,,,,
2020-01-07,265.0,268.3299865722656,263.04998779296875,267.4599914550781,233.4713592529297,431200,,,,,,,,
2020-01-08,268.69000244140625,272.7799987792969,266.30999755859375,268.9599914550781,234.78076171875,1055000,,,,,,,,
2020-01-09,269.9200134277344,277.0199890136719,269.0400085449219,276.010009765625,240.934814453125,962000,,,,,,,,
2020-01-10,276.25,279.7099914550781,270.55999755859375,270.94000244140625,236.5091552734375,384300,,,,,,,,
2020-01-13,271.29998779296875,275.3699951171875,270.19000244140625,274.82000732421875,239.8960418701172,185300,,,,,,,,
2020-01-14,273.4700012207031,273.4700012207031,270.42999267578125,271.3900146484375,236.90194702148438,308400,,,,,,,,
2020-01-15,271.69000244140625,276.010009765625,271.69000244140625,274.1000061035156,239.26760864257812,237000,,,,,,,,
2020-01-16,275.3699951171875,277.05999755859375,274.7799987792969,276.57000732421875,241.4236602783203,344200,,,,,,,,
2020-01-17,278.2799987792969,278.3900146484375,276.7799987792969,277.80999755859375,242.506103515625,201500,,,,,,,,
2020-01-21,277.0,279.6000061035156,275.9700012207031,278.57000732421875,243.1695556640625,298800,,,,,,,,
2020-01-22,276.1600036621094,277.0799865722656,273.7099914550781,275.739990234375,240.69915771484375,244300,,,,,,,,
2020-01-23,275.3299865722656,278.2099914550781,274.3800048828125,277.1000061035156,241.88633728027344,167400,,,,,,,,
2020-01-24,277.760009765625,277.79998779296875,274.42999267578125,276.4700012207031,241.33641052246094,227100,,,,,,,,
2020-01-27,272.07000732421875,275.4800109863281,271.2200012207031,274.1099853515625,239.27630615234375,231300,,,,,,,,
2020-01-28,274.8599853515625,276.95001220703125,271.3500061035156,274.29998779296875,239.44215393066406,319500,,,,,,,,
2020-01-29,275.0899963378906,275.32000732421875,262.0799865722656,264.3399963378906,230.74789428710938,607200,,,,,,,,
2020-01-30,261.5899963378906,265.9700012207031,261.5899963378906,265.80999755859375,232.03109741210938,270400,,,,,,,,
2020-01-31,265.0299987792969,265.6499938964844,258.8599853515625,261.0,227.83233642578125,383900,,,,,,,,
2020-02-03,262.6300048828125,266.510009765625,260.739990234375,261.3500061035156,228.13784790039062,272600,,,,,,,,
2020-02-04,264.1199951171875,267.0799865722656,264.0,265.05999755859375,231.37632751464844,249700,,,,,,,,
2020-02-05,267.0,270.45001220703125,265.44000244140625,269.55999755859375,235.30450439453125,224400,,,,,,,,
2020-02-06,271.010009765625,271.010009765625,267.989990234375,268.17999267578125,234.0998992919922,201100,,,,,,,,
2020-02-07,267.6300048828125,269.6099853515625,267.3699951171875,269.1400146484375,234.93788146972656,187400,,,,,,,,
2020-02-10,268.7200012207031,271.1400146484375,266.6600036621094,268.9200134277344,234.74581909179688,241700,,,,,,,,
2020-02-11,270.1600036621094,270.6000061035156,266.1400146484375,268.07000732421875,234.00384521484375,270100,,,,,,,,
2020-02-12,269.239990234375,270.0799865722656,266.0,270.0799865722656,235.7584686279297,363400,,,,,,,,
2020-02-13,260.07000732421875,264.6499938964844,249.0800018310547,250.36000061035156,218.54440307617188,635600,,,,,,,,
2020-02-14,251.74000549316406,252.35000610351562,245.35000610351562,246.2100067138672,214.92181396484375,523200,,,,,,,,
2020-02-18,245.0,245.11000061035156,237.25,237.5,207.3186798095703,668200,,,,,,,,
2020-02-19,239.27999877929688,240.32000732421875,235.07000732421875,235.6999969482422,205.7473907470703,538300,,,,,,,,
