date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NWG')","('high', 'NWG')","('low', 'NWG')","('close', 'NWG')","('adj_close', 'NWG')","('volume', 'NWG')","('currency', '')"
2020-01-02,6.961206912994385,6.993534088134766,6.93965482711792,6.993534088134766,4.610692977905273,1203059,,,,,,,,
2020-01-03,6.76724100112915,6.788793087005615,6.7025861740112305,6.713362216949463,4.425981044769287,1421325,,,,,,,,
2020-01-06,6.756465911865234,6.864223957061768,6.756465911865234,6.842671871185303,4.511231899261475,1207514,,,,,,,,
2020-01-07,6.842671871185303,6.864223957061768,6.788793087005615,6.799569129943848,4.482815265655518,988506,,,,,,,,
2020-01-08,6.788793087005615,6.842671871185303,6.76724100112915,6.8211212158203125,4.4970245361328125,723654,,,,,,,,
2020-01-09,6.76724100112915,6.778017044067383,6.724137783050537,6.76724100112915,4.461503028869629,694051,,,,,,,,
2020-01-10,6.648706912994385,6.659482955932617,6.6163787841796875,6.62715482711792,4.369146347045898,1103949,,,,,,,,
2020-01-13,6.487069129943848,6.5625,6.4224138259887695,6.5625,4.326520919799805,1786864,,,,,,,,
2020-01-14,6.487069129943848,6.519396781921387,6.379310131072998,6.411637783050537,4.227060317993164,2825760,,,,,,,,
2020-01-15,6.31465482711792,6.346982955932617,6.282328128814697,6.31465482711792,4.163121700286865,1830016,,,,,,,,
2020-01-16,6.282328128814697,6.336206912994385,6.239223957061768,6.31465482711792,4.163121700286865,1484707,,,,,,,,
2020-01-17,6.336206912994385,6.368534088134766,6.325430870056152,6.336206912994385,4.177330493927002,798080,,,,,,,,
2020-01-21,6.346982955932617,6.368534088134766,6.293103218078613,6.3038787841796875,4.156017303466797,1319245,,,,,,,,
2020-01-22,6.346982955932617,6.368534088134766,6.293103218078613,6.31465482711792,4.163121700286865,1330195,,,,,,,,
2020-01-23,6.282328128814697,6.293103218078613,6.1961212158203125,6.239223957061768,4.113391876220703,919648,,,,,,,,
2020-01-24,6.400862216949463,6.411637783050537,6.25,6.260776042938232,4.127599716186523,1575558,,,,,,,,
2020-01-27,6.153017044067383,6.18534517288208,6.131465911865234,6.153017044067383,4.056557655334473,1296323,,,,,,,,
2020-01-28,6.153017044067383,6.163793087005615,6.088362216949463,6.120689868927002,4.035244941711426,841418,,,,,,,,
2020-01-29,6.1961212158203125,6.228447914123535,6.163793087005615,6.163793087005615,4.063662052154541,771168,,,,,,,,
2020-01-30,6.239223957061768,6.336206912994385,6.217671871185303,6.336206912994385,4.177330493927002,1513290,,,,,,,,
2020-01-31,6.206896781921387,6.206896781921387,6.14224100112915,6.163793087005615,4.063662052154541,1513011,,,,,,,,
2020-02-03,6.1099138259887695,6.153017044067383,6.04525899887085,6.04525899887085,3.9855146408081055,1153411,,,,,,,,
2020-02-04,6.217671871185303,6.25,6.206896781921387,6.228447914123535,4.106287002563477,1042422,,,,,,,,
2020-02-05,6.217671871185303,6.239223957061768,6.163793087005615,6.239223957061768,4.113391876220703,1055229,,,,,,,,
2020-02-06,6.325430870056152,6.325430870056152,6.25,6.282328128814697,4.141808986663818,1043072,,,,,,,,
2020-02-07,6.18534517288208,6.217671871185303,6.153017044067383,6.174569129943848,4.070766448974609,859792,,,,,,,,
2020-02-10,6.18534517288208,6.217671871185303,6.153017044067383,6.174569129943848,4.070766448974609,539910,,,,,,,,
2020-02-11,6.239223957061768,6.260776042938232,6.206896781921387,6.217671871185303,4.099182605743408,975885,,,,,,,,
2020-02-12,6.379310131072998,6.433189868927002,6.336206912994385,6.379310131072998,4.205747604370117,1005952,,,,,,,,
2020-02-13,6.4224138259887695,6.465517044067383,6.3900861740112305,6.411637783050537,4.227060317993164,1527210,,,,,,,,
2020-02-14,6.023706912994385,6.056034088134766,5.894396781921387,5.905171871185303,3.893157958984375,3070288,,,,,,,,
2020-02-18,5.8836212158203125,5.8836212158203125,5.775862216949463,5.7974138259887695,3.822115182876587,1245840,,,,,,,,
2020-02-19,5.786637783050537,5.7974138259887695,5.721982955932617,5.721982955932617,3.772385358810425,1121488,,,,,,,,
2020-02-20,5.775862216949463,5.82974100112915,5.754310131072998,5.775862216949463,3.8079068660736084,1006045,,,,,,,,
2020-02-21,5.73275899887085,5.73275899887085,5.700430870056152,5.700430870056152,3.758176803588867,905171,,,,,,,,
2020-02-24,5.441810131072998,5.549569129943848,5.431034088134766,5.4849138259887695,3.6160898208618164,1989910,,,,,,,,
