date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'FREJO')","('high', 'FREJO')","('low', 'FREJO')","('close', 'FREJO')","('adj_close', 'FREJO')","('volume', 'FREJO')","('currency', '')"
2020-01-02,18.540000915527344,18.540000915527344,18.540000915527344,18.540000915527344,18.540000915527344,700,,,,,,,,
2020-01-03,18.540000915527344,18.540000915527344,18.540000915527344,18.540000915527344,18.540000915527344,0,,,,,,,,
2020-01-06,19.0,19.0,19.0,19.0,19.0,600,,,,,,,,
2020-01-07,19.0,19.0,19.0,19.0,19.0,0,,,,,,,,
2020-01-08,19.0,19.0,19.0,19.0,19.0,0,,,,,,,,
2020-01-09,19.0,19.0,19.0,19.0,19.0,0,,,,,,,,
2020-01-10,19.0,19.0,19.0,19.0,19.0,0,,,,,,,,
2020-01-13,19.0,19.0,19.0,19.0,19.0,0,,,,,,,,
2020-01-14,18.149999618530273,18.149999618530273,18.100000381469727,18.100000381469727,18.100000381469727,96800,,,,,,,,
2020-01-15,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,0,,,,,,,,
2020-01-16,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,0,,,,,,,,
2020-01-17,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,0,,,,,,,,
2020-01-21,18.75,18.75,18.75,18.75,18.75,5000,,,,,,,,
2020-01-22,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-23,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-24,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-27,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-28,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-29,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-30,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-01-31,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-03,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-04,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-05,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-06,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-07,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-10,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-11,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
2020-02-12,18.75,18.75,18.75,18.75,18.75,0,,,,,,,,
