date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NVT')","('high', 'NVT')","('low', 'NVT')","('close', 'NVT')","('adj_close', 'NVT')","('volume', 'NVT')","('currency', '')"
2020-01-02,25.81999969482422,25.93000030517578,25.579999923706055,25.920000076293945,23.0497989654541,1070800,,,,,,,,
2020-01-03,25.479999542236328,25.670000076293945,25.299999237060547,25.59000015258789,22.756338119506836,739100,,,,,,,,
2020-01-06,25.360000610351562,25.43000030517578,25.229999542236328,25.399999618530273,22.587377548217773,812400,,,,,,,,
2020-01-07,25.260000228881836,25.540000915527344,25.1299991607666,25.469999313354492,22.64963150024414,651000,,,,,,,,
2020-01-08,25.440000534057617,25.760000228881836,25.239999771118164,25.520000457763672,22.694095611572266,1254500,,,,,,,,
2020-01-09,25.6299991607666,25.90999984741211,25.440000534057617,25.829999923706055,22.969762802124023,786400,,,,,,,,
2020-01-10,25.850000381469727,25.969999313354492,25.6200008392334,25.649999618530273,22.809696197509766,880900,,,,,,,,
2020-01-13,25.68000030517578,25.684999465942383,25.315000534057617,25.56999969482422,22.738555908203125,751300,,,,,,,,
2020-01-14,25.5,25.6200008392334,25.360000610351562,25.440000534057617,22.62295150756836,615200,,,,,,,,
2020-01-15,25.3700008392334,25.610000610351562,25.170000076293945,25.309999465942383,22.507349014282227,656300,,,,,,,,
2020-01-16,25.520000457763672,25.729999542236328,25.375,25.709999084472656,22.863048553466797,904800,,,,,,,,
2020-01-17,25.770000457763672,25.790000915527344,25.43000030517578,25.56999969482422,22.738555908203125,734700,,,,,,,,
2020-01-21,25.43000030517578,25.540000915527344,25.219999313354492,25.450000762939453,22.63184928894043,677300,,,,,,,,
2020-01-22,25.950000762939453,26.420000076293945,25.739999771118164,26.010000228881836,23.129833221435547,2244800,,,,,,,,
2020-01-23,25.709999084472656,25.959999084472656,25.420000076293945,25.8700008392334,23.16117286682129,1010400,,,,,,,,
2020-01-24,25.899999618530273,25.93000030517578,25.3700008392334,25.6299991607666,22.9462947845459,1318800,,,,,,,,
2020-01-27,25.049999237060547,25.360000610351562,24.8799991607666,25.059999465942383,22.435983657836914,766600,,,,,,,,
2020-01-28,25.15999984741211,25.485000610351562,25.040000915527344,25.239999771118164,22.597137451171875,1185800,,,,,,,,
2020-01-29,25.3799991607666,25.780000686645508,25.350000381469727,25.690000534057617,23.00001335144043,984300,,,,,,,,
2020-01-30,25.299999237060547,25.78499984741211,25.290000915527344,25.719999313354492,23.026874542236328,853500,,,,,,,,
2020-01-31,25.520000457763672,25.520000457763672,24.780000686645508,24.899999618530273,22.292734146118164,5605600,,,,,,,,
2020-02-03,25.100000381469727,25.450000762939453,24.735000610351562,24.829999923706055,22.230064392089844,1453100,,,,,,,,
2020-02-04,25.31999969482422,25.5,25.010000228881836,25.219999313354492,22.5792293548584,1935000,,,,,,,,
2020-02-05,25.760000228881836,27.09000015258789,25.200000762939453,26.770000457763672,23.966936111450195,2193600,,,,,,,,
