date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EQIX')","('high', 'EQIX')","('low', 'EQIX')","('close', 'EQIX')","('adj_close', 'EQIX')","('volume', 'EQIX')","('currency', '')"
2020-01-02,583.9099731445312,584.9099731445312,576.030029296875,579.3499755859375,518.267578125,448500,,,,,,,,
2020-01-03,575.469970703125,590.3599853515625,575.469970703125,585.1199951171875,523.4291381835938,385200,,,,,,,,
2020-01-06,585.1300048828125,588.0,579.75,584.47998046875,522.856689453125,284200,,,,,,,,
2020-01-07,584.469970703125,586.5,575.02001953125,581.8800048828125,520.5308837890625,252600,,,,,,,,
2020-01-08,583.0,586.1599731445312,575.010009765625,583.7999877929688,522.24853515625,261000,,,,,,,,
2020-01-09,582.9500122070312,590.0,575.4099731445312,588.989990234375,526.8914794921875,229600,,,,,,,,
2020-01-10,593.3200073242188,595.77001953125,587.3200073242188,594.0,531.373046875,307900,,,,,,,,
2020-01-13,594.8900146484375,598.530029296875,592.260009765625,594.9600219726562,532.23193359375,396300,,,,,,,,
2020-01-14,595.8099975585938,597.0,582.9299926757812,586.5,524.663818359375,385400,,,,,,,,
2020-01-15,588.5599975585938,592.530029296875,585.0499877929688,586.239990234375,524.4312133789062,394300,,,,,,,,
2020-01-16,587.5499877929688,596.4000244140625,586.6099853515625,595.1199951171875,532.3750610351562,522100,,,,,,,,
2020-01-17,594.0,596.6900024414062,587.9000244140625,588.0,526.0059204101562,794200,,,,,,,,
2020-01-21,591.510009765625,594.5499877929688,583.9400024414062,590.0,527.7947387695312,680900,,,,,,,,
2020-01-22,595.3499755859375,599.1799926757812,590.7899780273438,591.530029296875,529.1633911132812,444100,,,,,,,,
2020-01-23,594.489990234375,603.7000122070312,592.5599975585938,596.010009765625,533.1712036132812,352200,,,,,,,,
2020-01-24,597.3699951171875,603.3499755859375,590.0399780273438,591.9600219726562,529.5481567382812,329000,,,,,,,,
2020-01-27,589.9099731445312,594.9600219726562,585.6099853515625,593.9500122070312,531.3284301757812,233200,,,,,,,,
2020-01-28,595.989990234375,604.6699829101562,595.3900146484375,602.5700073242188,539.03955078125,318100,,,,,,,,
2020-01-29,600.0599975585938,604.25,596.7899780273438,602.6799926757812,539.1378784179688,243200,,,,,,,,
2020-01-30,602.7000122070312,608.1099853515625,602.7000122070312,603.0,539.4241333007812,348400,,,,,,,,
2020-01-31,604.0700073242188,605.27001953125,587.3599853515625,589.72998046875,527.55322265625,488700,,,,,,,,
2020-02-03,592.5599975585938,606.1400146484375,591.0499877929688,603.5999755859375,539.9609985351562,445700,,,,,,,,
2020-02-04,608.0900268554688,609.469970703125,605.260009765625,607.8499755859375,543.7630004882812,325900,,,,,,,,
2020-02-05,608.489990234375,609.219970703125,600.0,601.260009765625,537.8677978515625,327400,,,,,,,,
2020-02-06,606.260009765625,607.8300170898438,594.5599975585938,603.72998046875,540.0773315429688,215000,,,,,,,,
2020-02-07,605.1400146484375,607.5499877929688,602.1300048828125,606.0,542.1078491210938,186900,,,,,,,,
2020-02-10,609.1900024414062,613.739990234375,607.0700073242188,612.030029296875,547.501953125,270300,,,,,,,,
2020-02-11,613.0999755859375,619.75,611.010009765625,613.5700073242188,548.8800048828125,345000,,,,,,,,
2020-02-12,616.22998046875,624.5800170898438,612.3300170898438,623.1400146484375,557.4407958984375,566400,,,,,,,,
2020-02-13,615.0999755859375,636.4299926757812,611.989990234375,635.75,568.72119140625,508300,,,,,,,,
2020-02-14,639.0900268554688,654.3200073242188,637.1900024414062,648.6500244140625,580.2612915039062,438600,,,,,,,,
2020-02-18,644.1699829101562,649.989990234375,639.3499755859375,643.5900268554688,575.7346801757812,427900,,,,,,,,
