date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'EXOD')","('high', 'EXOD')","('low', 'EXOD')","('close', 'EXOD')","('adj_close', 'EXOD')","('volume', 'EXOD')","('currency', '')"
2021-09-16,33.0,33.0,26.5,26.5,26.5,1700,,,,,,,,
2021-09-17,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,25.299999237060547,700,,,,,,,,
2021-09-20,25.0,25.0,20.0,20.0,20.0,1700,,,,,,,,
2021-09-21,23.25,25.0,23.25,23.25,23.25,800,,,,,,,,
2021-09-22,23.25,23.25,23.25,23.25,23.25,400,,,,,,,,
2021-09-23,23.25,23.25,23.25,23.25,23.25,600,,,,,,,,
2021-09-24,22.200000762939453,25.0,22.200000762939453,25.0,25.0,1000,,,,,,,,
2021-09-27,24.0,24.0,24.0,24.0,24.0,700,,,,,,,,
2021-09-28,24.0,24.0,24.0,24.0,24.0,500,,,,,,,,
2021-09-29,20.0,20.0,20.0,20.0,20.0,800,,,,,,,,
2021-09-30,21.0,21.0,21.0,21.0,21.0,300,,,,,,,,
2021-10-01,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2021-10-04,19.799999237060547,19.799999237060547,19.75,19.75,19.75,700,,,,,,,,
2021-10-05,19.75,19.75,19.75,19.75,19.75,0,,,,,,,,
2021-10-06,19.700000762939453,20.0,19.700000762939453,20.0,20.0,600,,,,,,,,
2021-10-07,20.0,20.0,20.0,20.0,20.0,700,,,,,,,,
2021-10-08,17.0,17.0,16.450000762939453,16.450000762939453,16.450000762939453,1600,,,,,,,,
2021-10-11,16.450000762939453,16.450000762939453,16.450000762939453,16.450000762939453,16.450000762939453,0,,,,,,,,
2021-10-12,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,400,,,,,,,,
2021-10-13,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,300,,,,,,,,
2021-10-14,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,0,,,,,,,,
2021-10-15,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,400,,,,,,,,
2021-10-18,15.75,15.75,15.75,15.75,15.75,500,,,,,,,,
2021-10-19,15.75,15.75,15.75,15.75,15.75,0,,,,,,,,
2021-10-20,16.239999771118164,16.239999771118164,15.550000190734863,15.550000190734863,15.550000190734863,600,,,,,,,,
2021-10-21,14.010000228881836,14.010000228881836,14.0,14.0,14.0,800,,,,,,,,
2021-10-22,14.0,14.0,14.0,14.0,14.0,500,,,,,,,,
2021-10-25,9.100000381469727,9.100000381469727,8.5,9.100000381469727,9.100000381469727,1400,,,,,,,,
2021-10-26,9.0,9.0,9.0,9.0,9.0,400,,,,,,,,
2021-10-27,9.0,9.0,9.0,9.0,9.0,400,,,,,,,,
2021-10-28,9.0,9.0,9.0,9.0,9.0,0,,,,,,,,
2021-10-29,17.0,17.0,17.0,17.0,17.0,200,,,,,,,,
2021-11-01,16.0,16.0,16.0,16.0,16.0,200,,,,,,,,
2021-11-02,16.799999237060547,16.799999237060547,16.5,16.5,16.5,1400,,,,,,,,
2021-11-03,16.5,16.5,16.5,16.5,16.5,0,,,,,,,,
2021-11-04,16.5,16.5,16.5,16.5,16.5,1100,,,,,,,,
2021-11-05,16.5,16.5,16.5,16.5,16.5,600,,,,,,,,
2021-11-08,21.0,21.0,16.5,21.0,21.0,1000,,,,,,,,
2021-11-09,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2021-11-10,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2021-11-11,17.5,18.0,17.5,18.0,18.0,800,,,,,,,,
2021-11-12,20.399999618530273,22.0,20.399999618530273,22.0,22.0,1000,,,,,,,,
2021-11-15,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,23.450000762939453,300,,,,,,,,
2021-11-16,22.0,23.0,22.0,23.0,23.0,700,,,,,,,,
2021-11-17,20.0,20.0,19.0,19.0,19.0,1900,,,,,,,,
2021-11-18,24.0,24.0,24.0,24.0,24.0,700,,,,,,,,
2021-11-19,27.399999618530273,27.399999618530273,25.0,25.0,25.0,700,,,,,,,,
2021-11-22,25.0,25.0,25.0,25.0,25.0,700,,,,,,,,
2021-11-23,25.0,25.0,25.0,25.0,25.0,0,,,,,,,,
2021-11-24,25.0,25.0,25.0,25.0,25.0,500,,,,,,,,
2021-11-26,25.0,25.0,25.0,25.0,25.0,0,,,,,,,,
2021-11-29,27.5,27.5,27.5,27.5,27.5,700,,,,,,,,
2021-11-30,26.0,26.0,22.0,22.0,22.0,1000,,,,,,,,
2021-12-01,22.0,22.0,22.0,22.0,22.0,0,,,,,,,,
2021-12-02,22.0,22.0,22.0,22.0,22.0,300,,,,,,,,
2021-12-03,22.0,22.0,22.0,22.0,22.0,500,,,,,,,,
2021-12-06,22.0,22.0,22.0,22.0,22.0,300,,,,,,,,
2021-12-07,25.5,25.5,25.0,25.0,25.0,500,,,,,,,,
2021-12-08,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,24.950000762939453,200,,,,,,,,
2021-12-09,25.0,25.0,25.0,25.0,25.0,200,,,,,,,,
2021-12-10,22.5,22.5,22.5,22.5,22.5,300,,,,,,,,
2021-12-13,22.5,22.5,22.5,22.5,22.5,0,,,,,,,,
2021-12-14,22.5,22.5,20.100000381469727,20.100000381469727,20.100000381469727,500,,,,,,,,
2021-12-15,22.25,22.25,22.25,22.25,22.25,200,,,,,,,,
2021-12-16,20.0,20.0,20.0,20.0,20.0,500,,,,,,,,
2021-12-17,20.0,20.0,20.0,20.0,20.0,0,,,,,,,,
2021-12-20,21.0,24.0,21.0,24.0,24.0,600,,,,,,,,
2021-12-21,21.5,21.5,21.5,21.5,21.5,100,,,,,,,,
2021-12-22,21.0,21.0,21.0,21.0,21.0,600,,,,,,,,
2021-12-23,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2021-12-27,21.0,21.0,21.0,21.0,21.0,0,,,,,,,,
2021-12-28,20.5,20.5,20.0,20.0,20.0,1400,,,,,,,,
2021-12-29,17.0,17.0,17.0,17.0,17.0,300,,,,,,,,
2021-12-30,17.5,17.799999237060547,17.5,17.799999237060547,17.799999237060547,900,,,,,,,,
2021-12-31,20.0,20.399999618530273,19.5,19.5,19.5,3100,,,,,,,,
2022-01-03,19.5,19.5,19.5,19.5,19.5,0,,,,,,,,
2022-01-04,19.5,19.5,19.5,19.5,19.5,0,,,,,,,,
2022-01-05,21.0,21.0,21.0,21.0,21.0,300,,,,,,,,
2022-01-06,20.5,20.5,20.5,20.5,20.5,300,,,,,,,,
2022-01-07,20.5,20.5,20.5,20.5,20.5,0,,,,,,,,
2022-01-10,18.600000381469727,18.600000381469727,18.100000381469727,18.100000381469727,18.100000381469727,600,,,,,,,,
2022-01-11,18.0,18.0,17.549999237060547,17.549999237060547,17.549999237060547,800,,,,,,,,
2022-01-12,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,0,,,,,,,,
2022-01-13,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,17.549999237060547,0,,,,,,,,
2022-01-14,19.489999771118164,19.489999771118164,19.489999771118164,19.489999771118164,19.489999771118164,300,,,,,,,,
2022-01-18,16.0,16.0,16.0,16.0,16.0,700,,,,,,,,
2022-01-19,17.0,17.0,17.0,17.0,17.0,400,,,,,,,,
2022-01-20,20.0,20.0,16.5,16.5,16.5,1800,,,,,,,,
2022-01-21,16.5,16.5,16.5,16.5,16.5,0,,,,,,,,
2022-01-24,16.5,16.5,16.5,16.5,16.5,300,,,,,,,,
2022-01-25,16.5,16.5,16.5,16.5,16.5,0,,,,,,,,
2022-01-26,16.0,16.0,16.0,16.0,16.0,200,,,,,,,,
2022-01-27,16.0,16.0,16.0,16.0,16.0,0,,,,,,,,
2022-01-28,15.010000228881836,15.010000228881836,14.0,14.0,14.0,800,,,,,,,,
2022-01-31,12.25,12.25,12.25,12.25,12.25,200,,,,,,,,
2022-02-01,12.25,12.25,12.25,12.25,12.25,0,,,,,,,,
2022-02-02,12.25,12.25,12.25,12.25,12.25,0,,,,,,,,
2022-02-03,17.75,19.489999771118164,17.75,19.489999771118164,19.489999771118164,1200,,,,,,,,
2022-02-04,18.0,18.0,18.0,18.0,18.0,400,,,,,,,,
2022-02-07,18.0,18.0,18.0,18.0,18.0,0,,,,,,,,
2022-02-08,18.0,18.0,18.0,18.0,18.0,0,,,,,,,,
2022-02-09,18.0,18.0,18.0,18.0,18.0,0,,,,,,,,
2022-02-10,19.0,19.0,19.0,19.0,19.0,500,,,,,,,,
2022-02-11,15.550000190734863,15.550000190734863,15.550000190734863,15.550000190734863,15.550000190734863,900,,,,,,,,
2022-02-14,15.550000190734863,15.550000190734863,15.550000190734863,15.550000190734863,15.550000190734863,0,,,,,,,,
2022-02-15,15.550000190734863,15.550000190734863,15.550000190734863,15.550000190734863,15.550000190734863,0,,,,,,,,
