date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GS')","('high', 'GS')","('low', 'GS')","('close', 'GS')","('adj_close', 'GS')","('volume', 'GS')","('currency', '')"
2020-01-02,231.0,234.63999938964844,230.16000366210938,234.32000732421875,203.18260192871094,3736300,,,,,,,,
2020-01-03,231.60000610351562,232.61000061035156,230.3000030517578,231.5800018310547,200.8066864013672,2274500,,,,,,,,
2020-01-06,229.92999267578125,234.02000427246094,229.49000549316406,233.9499969482422,202.8617706298828,3329300,,,,,,,,
2020-01-07,235.0,237.77000427246094,234.75999450683594,235.49000549316406,204.19712829589844,5255200,,,,,,,,
2020-01-08,235.67999267578125,239.75,235.47999572753906,237.75999450683594,206.16551208496094,3564700,,,,,,,,
2020-01-09,241.33999633789062,243.39999389648438,239.82000732421875,242.60000610351562,210.3623504638672,3980700,,,,,,,,
2020-01-10,242.75,243.38999938964844,241.38999938964844,242.11000061035156,209.93743896484375,2248100,,,,,,,,
2020-01-13,244.44000244140625,246.11000061035156,243.0,245.2100067138672,212.62554931640625,3359200,,,,,,,,
2020-01-14,245.32000732421875,248.52000427246094,244.60000610351562,245.66000366210938,213.01571655273438,4302800,,,,,,,,
2020-01-15,242.0,249.5,239.16000366210938,245.2100067138672,212.62554931640625,5411200,,,,,,,,
2020-01-16,247.00999450683594,249.82000732421875,246.22999572753906,249.72000122070312,216.5362091064453,3968400,,,,,,,,
2020-01-17,250.22999572753906,250.4600067138672,248.0,249.4600067138672,216.31072998046875,3108400,,,,,,,,
2020-01-21,247.2100067138672,248.85000610351562,245.60000610351562,245.6999969482422,213.05038452148438,2492400,,,,,,,,
2020-01-22,246.61000061035156,248.52000427246094,246.33999633789062,247.0500030517578,214.22100830078125,2030900,,,,,,,,
2020-01-23,244.5,247.0,242.8800048828125,245.5800018310547,212.9463348388672,2806800,,,,,,,,
2020-01-24,245.07000732421875,245.7100067138672,240.60000610351562,241.9199981689453,209.77268981933594,2877400,,,,,,,,
2020-01-27,236.3699951171875,238.99000549316406,235.00999450683594,238.13999938964844,206.49497985839844,2506200,,,,,,,,
2020-01-28,239.49000549316406,243.5800018310547,238.0500030517578,242.5800018310547,210.34495544433594,3123000,,,,,,,,
2020-01-29,244.52000427246094,246.5,239.57000732421875,240.1199951171875,208.21185302734375,3711600,,,,,,,,
2020-01-30,237.69000244140625,244.33999633789062,236.72999572753906,244.1300048828125,211.6890106201172,3261700,,,,,,,,
2020-01-31,241.99000549316406,242.88999938964844,236.8800048828125,237.75,206.15679931640625,3482800,,,,,,,,
2020-02-03,238.36000061035156,242.38999938964844,238.0500030517578,239.00999450683594,207.24937438964844,2733000,,,,,,,,
2020-02-04,242.8800048828125,243.74000549316406,241.5500030517578,241.94000244140625,209.7900390625,3052500,,,,,,,,
2020-02-05,244.99000549316406,245.1300048828125,243.0,244.3000030517578,211.83641052246094,3126600,,,,,,,,
2020-02-06,245.35000610351562,245.77000427246094,241.17999267578125,241.82000732421875,209.68601989746094,2225600,,,,,,,,
2020-02-07,239.75,240.52000427246094,236.5500030517578,238.0,206.37356567382812,3006500,,,,,,,,
2020-02-10,237.39999389648438,237.8699951171875,235.4600067138672,237.36000061035156,205.81861877441406,2591300,,,,,,,,
2020-02-11,239.0,239.5500030517578,236.22000122070312,236.4600067138672,205.03819274902344,2238800,,,,,,,,
2020-02-12,238.00999450683594,241.17999267578125,237.72000122070312,238.64999389648438,206.9372100830078,2119200,,,,,,,,
2020-02-13,237.85000610351562,238.97000122070312,236.57000732421875,238.35000610351562,206.67709350585938,1461300,,,,,,,,
2020-02-14,237.94000244140625,239.00999450683594,236.22999572753906,237.0800018310547,205.5758819580078,1718700,,,,,,,,
2020-02-18,236.5500030517578,237.07000732421875,231.1999969482422,233.2100067138672,202.2200927734375,2736500,,,,,,,,
2020-02-19,235.0,237.8000030517578,233.27999877929688,237.3300018310547,205.79263305664062,2207100,,,,,,,,
2020-02-20,236.41000366210938,236.89999389648438,231.25,232.72999572753906,201.8039093017578,3183700,,,,,,,,
2020-02-21,230.91000366210938,231.8000030517578,228.3699951171875,230.6199951171875,199.97425842285156,3081600,,,,,,,,
2020-02-24,223.22999572753906,226.69000244140625,222.5399932861328,224.5399932861328,194.7022247314453,4139400,,,,,,,,
2020-02-25,224.77999877929688,225.8699951171875,215.88999938964844,217.61000061035156,188.69308471679688,5343100,,,,,,,,
2020-02-26,218.6999969482422,220.0,214.75999450683594,215.77999877929688,187.10630798339844,4171100,,,,,,,,
2020-02-27,210.49000549316406,213.47999572753906,205.3699951171875,205.69000244140625,178.35708618164062,5848200,,,,,,,,
2020-02-28,199.08999633789062,202.25,194.85000610351562,200.77000427246094,175.1553192138672,6727100,,,,,,,,
2020-03-02,201.41000366210938,209.6199951171875,197.6300048828125,209.47000122070312,182.745361328125,5285500,,,,,,,,
2020-03-03,209.0,211.7899932861328,202.1199951171875,203.42999267578125,177.4759063720703,5677200,,,,,,,,
2020-03-04,205.83999633789062,208.9199981689453,202.6999969482422,208.74000549316406,182.1084442138672,3520400,,,,,,,,
2020-03-05,201.3300018310547,203.47000122070312,196.9499969482422,198.7899932861328,173.42787170410156,4151500,,,,,,,,
2020-03-06,190.67999267578125,196.3000030517578,189.27999877929688,192.85000610351562,168.24578857421875,5071900,,,,,,,,
2020-03-09,173.5800018310547,179.25,170.16000366210938,172.80999755859375,150.7624969482422,6443000,,,,,,,,
2020-03-10,181.6199951171875,185.39999389648438,173.2899932861328,184.35000610351562,160.83021545410156,6803900,,,,,,,,
2020-03-11,178.47999572753906,180.77000427246094,170.97000122070312,171.88999938964844,149.9598388671875,5314000,,,,,,,,
2020-03-12,160.0,166.75,150.0,150.67999267578125,131.45591735839844,8357700,,,,,,,,
2020-03-13,162.82000732421875,177.55999755859375,152.35000610351562,177.1699981689453,154.56625366210938,6368400,,,,,,,,
2020-03-16,150.22999572753906,169.5399932861328,150.0,154.66000366210938,134.92813110351562,6888000,,,,,,,,
2020-03-17,157.0,166.74000549316406,150.0,158.6699981689453,138.42649841308594,6876300,,,,,,,,
2020-03-18,150.0,155.97000122070312,135.41000366210938,140.02000427246094,122.15591430664062,9543200,,,,,,,,
2020-03-19,137.3800048828125,152.49000549316406,130.85000610351562,149.49000549316406,130.41770935058594,6548200,,,,,,,,
