date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NWE')","('high', 'NWE')","('low', 'NWE')","('close', 'NWE')","('adj_close', 'NWE')","('volume', 'NWE')","('currency', '')"
2020-01-02,71.8499984741211,71.8499984741211,69.69000244140625,70.45999908447266,53.77718734741211,274500,,,,,,,,
2020-01-03,70.37999725341797,70.91999816894531,70.27999877929688,70.45999908447266,53.77718734741211,282100,,,,,,,,
2020-01-06,70.37999725341797,71.05999755859375,70.37999725341797,70.72000122070312,53.975624084472656,203700,,,,,,,,
2020-01-07,70.4800033569336,70.6500015258789,70.08000183105469,70.36000061035156,53.70085906982422,139200,,,,,,,,
2020-01-08,70.31999969482422,70.58000183105469,70.0999984741211,70.36000061035156,53.70085906982422,210900,,,,,,,,
2020-01-09,70.36000061035156,70.91000366210938,70.20999908447266,70.79000091552734,54.029048919677734,234600,,,,,,,,
2020-01-10,71.0,71.37999725341797,70.77999877929688,71.2300033569336,54.36488723754883,215700,,,,,,,,
2020-01-13,71.33000183105469,72.47000122070312,71.31999969482422,72.27999877929688,55.166259765625,174000,,,,,,,,
2020-01-14,72.37000274658203,72.55000305175781,71.94000244140625,72.51000213623047,55.34181213378906,161900,,,,,,,,
2020-01-15,72.62999725341797,73.69000244140625,72.62999725341797,73.41999816894531,56.03634262084961,207200,,,,,,,,
2020-01-16,73.70999908447266,74.48999786376953,73.5999984741211,74.38999938964844,56.776695251464844,232000,,,,,,,,
2020-01-17,74.44999694824219,74.7699966430664,74.12000274658203,74.69999694824219,57.01327133178711,206900,,,,,,,,
2020-01-21,74.80000305175781,75.37999725341797,74.26000213623047,75.30000305175781,57.471221923828125,256700,,,,,,,,
2020-01-22,75.58000183105469,75.77999877929688,75.30000305175781,75.44999694824219,57.5857048034668,222800,,,,,,,,
2020-01-23,75.51000213623047,75.62000274658203,75.04000091552734,75.45999908447266,57.59333419799805,265900,,,,,,,,
2020-01-24,75.4800033569336,76.0,75.37000274658203,75.77999877929688,57.83756637573242,284400,,,,,,,,
2020-01-27,75.76000213623047,76.5,75.19999694824219,75.62000274658203,57.7154541015625,410100,,,,,,,,
2020-01-28,75.76000213623047,76.2699966430664,75.4800033569336,75.87000274658203,57.906246185302734,302400,,,,,,,,
2020-01-29,75.95999908447266,76.33000183105469,75.27999877929688,76.18000030517578,58.142860412597656,249500,,,,,,,,
2020-01-30,76.04000091552734,77.16000366210938,76.01000213623047,77.08000183105469,58.82976150512695,151200,,,,,,,,
2020-01-31,77.0199966430664,77.33999633789062,76.5199966430664,76.97000122070312,58.74580001831055,445600,,,,,,,,
2020-02-03,77.05000305175781,77.37999725341797,76.97000122070312,77.33999633789062,59.028202056884766,226000,,,,,,,,
2020-02-04,77.4000015258789,77.4000015258789,76.8499984741211,76.95999908447266,58.7381706237793,344700,,,,,,,,
2020-02-05,76.94999694824219,77.63999938964844,76.76000213623047,77.62000274658203,59.24189758300781,193700,,,,,,,,
2020-02-06,77.72000122070312,78.11000061035156,77.44000244140625,77.52999877929688,59.173221588134766,276200,,,,,,,,
2020-02-07,77.69999694824219,77.97000122070312,76.7699966430664,76.80000305175781,58.616050720214844,186900,,,,,,,,
2020-02-10,76.83999633789062,77.18000030517578,76.5199966430664,77.12999725341797,58.86791229248047,135100,,,,,,,,
2020-02-11,77.33999633789062,77.5999984741211,77.08000183105469,77.3499984741211,59.03584289550781,163800,,,,,,,,
2020-02-12,77.4000015258789,77.6500015258789,76.66999816894531,77.45999908447266,59.11978530883789,196000,,,,,,,,
2020-02-13,78.76000213623047,78.93000030517578,77.38999938964844,78.44000244140625,59.86777114868164,495100,,,,,,,,
2020-02-14,78.5999984741211,79.30000305175781,78.47000122070312,78.91999816894531,60.23408126831055,283700,,,,,,,,
2020-02-18,79.1500015258789,80.08999633789062,78.87000274658203,79.73999786376953,60.85995864868164,340700,,,,,,,,
2020-02-19,79.5999984741211,80.5199966430664,79.55999755859375,80.22000122070312,61.22631072998047,315900,,,,,,,,
2020-02-20,79.9800033569336,80.23999786376953,79.44000244140625,79.9000015258789,60.982078552246094,254500,,,,,,,,
2020-02-21,79.70999908447266,79.94999694824219,78.91000366210938,79.01000213623047,60.302799224853516,391500,,,,,,,,
2020-02-24,78.44000244140625,78.86000061035156,78.01000213623047,78.44999694824219,59.87540054321289,349100,,,,,,,,
2020-02-25,78.37000274658203,78.5199966430664,77.2300033569336,77.43000030517578,59.096893310546875,358800,,,,,,,,
2020-02-26,77.58000183105469,78.52999877929688,76.94999694824219,77.12999725341797,58.86791229248047,360500,,,,,,,,
2020-02-27,76.80999755859375,77.62000274658203,74.44000244140625,74.5,56.86063003540039,469800,,,,,,,,
2020-02-28,73.19000244140625,73.30000305175781,69.48999786376953,70.33999633789062,53.68558883666992,701000,,,,,,,,
2020-03-02,70.66000366210938,74.33000183105469,70.47000122070312,74.33000183105469,56.73088455200195,412500,,,,,,,,
2020-03-03,74.19000244140625,76.16000366210938,73.4800033569336,73.76000213623047,56.295841217041016,336500,,,,,,,,
