date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'INSW')","('high', 'INSW')","('low', 'INSW')","('close', 'INSW')","('adj_close', 'INSW')","('volume', 'INSW')","('currency', '')"
2020-01-02,29.799999237060547,29.96500015258789,29.510000228881836,29.81999969482422,18.597484588623047,244200,,,,,,,,
2020-01-03,29.8799991607666,30.559999465942383,29.579999923706055,30.0,18.709735870361328,429800,,,,,,,,
2020-01-06,30.079999923706055,30.34000015258789,29.670000076293945,29.959999084472656,18.684799194335938,350100,,,,,,,,
2020-01-07,29.959999084472656,30.75,29.770000457763672,30.6299991607666,19.102649688720703,603800,,,,,,,,
2020-01-08,31.170000076293945,31.389999389648438,29.420000076293945,29.670000076293945,18.503936767578125,563200,,,,,,,,
2020-01-09,29.729999542236328,30.200000762939453,29.459999084472656,29.780000686645508,18.572538375854492,570700,,,,,,,,
2020-01-10,29.829999923706055,29.90999984741211,28.899999618530273,29.079999923706055,18.135974884033203,443500,,,,,,,,
2020-01-13,29.190000534057617,29.510000228881836,28.40999984741211,29.020000457763672,18.09855842590332,369700,,,,,,,,
2020-01-14,29.079999923706055,29.350000381469727,28.229999542236328,28.31999969482422,17.66200065612793,394000,,,,,,,,
2020-01-15,28.200000762939453,28.3700008392334,26.950000762939453,27.309999465942383,17.0321044921875,835800,,,,,,,,
2020-01-16,27.549999237060547,27.667999267578125,26.1299991607666,27.059999465942383,16.876190185546875,596400,,,,,,,,
2020-01-17,27.18000030517578,27.729999542236328,26.389999389648438,26.549999237060547,16.558120727539062,421200,,,,,,,,
2020-01-21,26.59000015258789,27.200000762939453,26.5,26.799999237060547,16.714038848876953,402100,,,,,,,,
2020-01-22,26.790000915527344,26.81999969482422,26.06999969482422,26.309999465942383,16.408445358276367,344500,,,,,,,,
2020-01-23,26.059999465942383,26.389999389648438,25.049999237060547,25.969999313354492,16.196399688720703,500400,,,,,,,,
2020-01-24,25.959999084472656,26.229999542236328,24.420000076293945,24.600000381469727,15.341987609863281,417000,,,,,,,,
2020-01-27,24.239999771118164,24.520000457763672,23.5,24.110000610351562,15.036396980285645,287900,,,,,,,,
2020-01-28,24.15999984741211,24.40999984741211,23.969999313354492,24.1200008392334,15.042635917663574,359100,,,,,,,,
2020-01-29,24.0,24.225000381469727,23.540000915527344,23.579999923706055,14.705859184265137,293700,,,,,,,,
2020-01-30,23.3700008392334,23.3700008392334,21.8799991607666,22.3700008392334,13.951234817504883,454500,,,,,,,,
2020-01-31,22.15999984741211,22.434999465942383,21.729999542236328,22.260000228881836,13.882627487182617,475100,,,,,,,,
2020-02-03,22.260000228881836,22.40999984741211,21.780000686645508,21.950000762939453,13.68929672241211,330100,,,,,,,,
2020-02-04,22.290000915527344,22.8700008392334,22.079999923706055,22.329999923706055,13.926286697387695,352800,,,,,,,,
2020-02-05,22.559999465942383,23.059999465942383,22.559999465942383,22.940000534057617,14.306719779968262,319900,,,,,,,,
2020-02-06,22.860000610351562,22.860000610351562,22.329999923706055,22.360000610351562,13.944995880126953,922500,,,,,,,,
2020-02-07,22.059999465942383,22.059999465942383,20.360000610351562,20.469999313354492,12.766279220581055,443300,,,,,,,,
2020-02-10,20.299999237060547,20.690000534057617,20.040000915527344,20.299999237060547,12.660258293151855,252400,,,,,,,,
2020-02-11,20.510000228881836,21.25,20.510000228881836,21.200000762939453,13.221550941467285,334900,,,,,,,,
2020-02-12,21.5,22.149999618530273,21.375,21.729999542236328,13.552088737487793,311500,,,,,,,,
2020-02-13,21.6200008392334,21.920000076293945,21.15999984741211,21.260000228881836,13.25897216796875,192500,,,,,,,,
2020-02-14,21.280000686645508,21.559999465942383,20.90999984741211,21.219999313354492,13.234024047851562,151700,,,,,,,,
2020-02-18,21.110000610351562,21.110000610351562,20.450000762939453,20.600000381469727,12.847356796264648,371700,,,,,,,,
2020-02-19,20.649999618530273,20.8799991607666,20.420000076293945,20.81999969482422,12.984560012817383,188700,,,,,,,,
2020-02-20,20.760000228881836,20.8700008392334,20.260000228881836,20.600000381469727,12.847356796264648,307500,,,,,,,,
2020-02-21,20.549999237060547,20.549999237060547,19.899999618530273,20.25,12.629076957702637,352700,,,,,,,,
2020-02-24,19.43000030517578,19.43000030517578,18.924999237060547,19.1299991607666,11.93057918548584,264700,,,,,,,,
2020-02-25,19.31999969482422,19.31999969482422,18.649999618530273,18.719999313354492,11.674880027770996,307000,,,,,,,,
2020-02-26,18.829999923706055,19.3700008392334,18.540000915527344,18.700000762939453,11.662405014038086,256400,,,,,,,,
