date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MTN')","('high', 'MTN')","('low', 'MTN')","('close', 'MTN')","('adj_close', 'MTN')","('volume', 'MTN')","('currency', '')"
2020-01-02,240.67999267578125,243.5,239.02999877929688,243.47999572753906,200.75523376464844,274800,,,,,,,,
2020-01-03,241.58999633789062,244.77999877929688,241.16000366210938,243.77000427246094,200.99432373046875,215200,,,,,,,,
2020-01-06,242.2899932861328,245.42999267578125,240.82000732421875,245.32000732421875,202.27230834960938,248400,,,,,,,,
2020-01-07,245.19000244140625,247.3000030517578,244.36000061035156,244.52000427246094,201.61273193359375,355400,,,,,,,,
2020-01-08,243.89999389648438,249.91000366210938,243.8800048828125,248.74000549316406,205.0922088623047,337600,,,,,,,,
2020-01-09,249.2899932861328,253.99000549316406,245.0,253.05999755859375,208.65415954589844,684300,,,,,,,,
2020-01-10,253.99000549316406,253.99000549316406,249.10000610351562,251.39999389648438,207.2854461669922,364100,,,,,,,,
2020-01-13,251.4499969482422,255.3699951171875,249.27000427246094,254.77999877929688,210.07232666015625,312300,,,,,,,,
2020-01-14,254.00999450683594,254.75999450683594,250.55999755859375,251.13999938964844,207.07106018066406,285800,,,,,,,,
2020-01-15,250.6199951171875,252.74000549316406,245.05999755859375,245.3300018310547,202.28057861328125,523800,,,,,,,,
2020-01-16,246.75999450683594,250.33999633789062,245.47000122070312,249.30999755859375,205.56222534179688,289600,,,,,,,,
2020-01-17,237.58999633789062,251.0,237.0,249.44000244140625,205.6693572998047,521100,,,,,,,,
2020-01-21,249.1699981689453,252.52999877929688,247.72000122070312,250.00999450683594,206.1393585205078,344300,,,,,,,,
2020-01-22,250.41000366210938,254.6199951171875,249.64999389648438,249.8800048828125,206.03213500976562,264200,,,,,,,,
2020-01-23,249.0,251.27000427246094,246.3000030517578,250.00999450683594,206.1393585205078,254400,,,,,,,,
2020-01-24,250.47000122070312,251.14999389648438,241.66000366210938,243.8800048828125,201.0850372314453,321000,,,,,,,,
2020-01-27,237.36000061035156,239.9600067138672,236.80999755859375,238.49000549316406,196.64085388183594,426300,,,,,,,,
