date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'TRMLF')","('high', 'TRMLF')","('low', 'TRMLF')","('close', 'TRMLF')","('adj_close', 'TRMLF')","('volume', 'TRMLF')","('currency', '')"
2020-01-02,11.899999618530273,11.899999618530273,11.510000228881836,11.529999732971191,7.818232536315918,2300,,,,,,,,
2020-01-03,11.84000015258789,11.869999885559082,11.640000343322754,11.869999885559082,8.048779487609863,3100,,,,,,,,
2020-01-06,12.050000190734863,12.220000267028809,12.050000190734863,12.199999809265137,8.272546768188477,6000,,,,,,,,
2020-01-07,11.9399995803833,11.979999542236328,11.9399995803833,11.979999542236328,8.123366355895996,8400,,,,,,,,
2020-01-08,12.079999923706055,12.319999694824219,11.979999542236328,12.140000343322754,8.231861114501953,8600,,,,,,,,
2020-01-09,12.539999961853027,12.539999961853027,11.569999694824219,12.039999961853027,8.164051055908203,18100,,,,,,,,
2020-01-10,12.039999961853027,12.039999961853027,12.039999961853027,12.039999961853027,8.164051055908203,0,,,,,,,,
2020-01-13,11.84000015258789,12.050000190734863,11.84000015258789,11.920000076293945,8.082683563232422,15100,,,,,,,,
2020-01-14,11.90999984741211,11.930000305175781,11.640000343322754,11.640000343322754,7.892820835113525,5400,,,,,,,,
2020-01-15,11.619999885559082,11.649999618530273,11.609999656677246,11.609999656677246,7.8724775314331055,15800,,,,,,,,
2020-01-16,11.739999771118164,11.789999961853027,11.739999771118164,11.739999771118164,7.960628986358643,1600,,,,,,,,
2020-01-17,11.640000343322754,11.640000343322754,11.1899995803833,11.1899995803833,7.587687015533447,4100,,,,,,,,
2020-01-21,11.180000305175781,11.210000038146973,11.020000457763672,11.1899995803833,7.587687015533447,66400,,,,,,,,
2020-01-22,10.930000305175781,10.930000305175781,10.75,10.869999885559082,7.370702743530273,42200,,,,,,,,
2020-01-23,10.569999694824219,10.649999618530273,10.569999694824219,10.630000114440918,7.2079620361328125,9500,,,,,,,,
2020-01-24,10.600000381469727,10.609999656677246,10.460000038146973,10.520000457763672,7.1333770751953125,8500,,,,,,,,
2020-01-27,10.239999771118164,10.239999771118164,10.1899995803833,10.1899995803833,6.909607410430908,11800,,,,,,,,
2020-01-28,10.199999809265137,10.460000038146973,10.199999809265137,10.460000038146973,7.092691898345947,44400,,,,,,,,
2020-01-29,10.380000114440918,10.380000114440918,10.199999809265137,10.199999809265137,6.916391372680664,6300,,,,,,,,
2020-01-30,9.75,10.09000015258789,9.75,9.989999771118164,6.773995399475098,7600,,,,,,,,
2020-01-31,9.989999771118164,10.149999618530273,9.989999771118164,10.130000114440918,6.86892557144165,24200,,,,,,,,
