date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RNO.PA')","('high', 'RNO.PA')","('low', 'RNO.PA')","('close', 'RNO.PA')","('adj_close', 'RNO.PA')","('volume', 'RNO.PA')","('currency', '')"
2020-01-02,42.72999954223633,43.0,41.689998626708984,41.900001525878906,38.165435791015625,1200455,,,,,,,,
2020-01-03,41.75,41.77000045776367,40.7400016784668,41.220001220703125,37.54603958129883,1279579,,,,,,,,
2020-01-06,41.0,41.349998474121094,40.20000076293945,41.349998474121094,37.664451599121094,1485689,,,,,,,,
2020-01-07,41.650001525878906,42.834999084472656,41.36000061035156,42.810001373291016,38.994327545166016,1590348,,,,,,,,
2020-01-08,42.994998931884766,43.3650016784668,42.404998779296875,42.6349983215332,38.83491897583008,1388072,,,,,,,,
2020-01-09,42.5,42.904998779296875,41.959999084472656,42.07500076293945,38.324832916259766,1209456,,,,,,,,
2020-01-10,42.224998474121094,42.244998931884766,41.3849983215332,41.84000015258789,38.11077880859375,954461,,,,,,,,
2020-01-13,41.41999816894531,41.41999816894531,40.15999984741211,40.65999984741211,37.035953521728516,2183479,,,,,,,,
2020-01-14,41.165000915527344,41.290000915527344,40.29999923706055,40.5,36.89021301269531,1702195,,,,,,,,
2020-01-15,40.599998474121094,40.779998779296875,40.0,40.0,36.434776306152344,1466596,,,,,,,,
2020-01-16,40.0,40.45500183105469,39.01499938964844,39.53499984741211,36.01122283935547,1608533,,,,,,,,
2020-01-17,39.790000915527344,40.665000915527344,39.2599983215332,39.2599983215332,35.76073455810547,1493058,,,,,,,,
2020-01-20,39.275001525878906,39.775001525878906,39.07500076293945,39.595001220703125,36.065879821777344,711449,,,,,,,,
2020-01-21,39.279998779296875,39.625,39.029998779296875,39.28499984741211,35.78350830078125,987348,,,,,,,,
2020-01-22,39.38999938964844,39.76499938964844,38.775001525878906,38.95500183105469,35.48292541503906,1133709,,,,,,,,
2020-01-23,37.68000030517578,38.0,36.599998474121094,36.98500061035156,33.688507080078125,3322142,,,,,,,,
2020-01-24,37.400001525878906,37.44499969482422,35.7400016784668,36.27000045776367,33.037235260009766,3027994,,,,,,,,
2020-01-27,35.95500183105469,35.95500183105469,34.7599983215332,35.099998474121094,31.971515655517578,2659428,,,,,,,,
2020-01-28,35.29499816894531,35.665000915527344,34.505001068115234,35.55500030517578,32.385963439941406,1711003,,,,,,,,
2020-01-29,35.89500045776367,36.54999923706055,35.474998474121094,36.14500045776367,32.92337417602539,2185606,,,,,,,,
2020-01-30,35.79999923706055,36.05500030517578,35.43000030517578,35.58000183105469,32.40873718261719,1329460,,,,,,,,
2020-01-31,35.689998626708984,35.78499984741211,35.185001373291016,35.244998931884766,32.10359191894531,1450521,,,,,,,,
2020-02-03,35.244998931884766,35.345001220703125,34.68000030517578,34.85499954223633,31.748353958129883,1418371,,,,,,,,
