date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PLAY')","('high', 'PLAY')","('low', 'PLAY')","('close', 'PLAY')","('adj_close', 'PLAY')","('volume', 'PLAY')","('currency', '')"
2020-01-02,40.47999954223633,40.709999084472656,40.084999084472656,40.68000030517578,40.52124786376953,453500,,,,,,,,
2020-01-03,40.18000030517578,40.72999954223633,39.75,40.47999954223633,40.32202911376953,501400,,,,,,,,
2020-01-06,40.09000015258789,40.779998779296875,39.834999084472656,40.380001068115234,40.22241973876953,452600,,,,,,,,
2020-01-07,40.2400016784668,40.5099983215332,39.619998931884766,40.2599983215332,40.10288619995117,416300,,,,,,,,
2020-01-08,40.150001525878906,41.16999816894531,39.970001220703125,41.0,40.84000015258789,418400,,,,,,,,
2020-01-09,41.0099983215332,41.29999923706055,40.209999084472656,41.189998626708984,41.189998626708984,471300,,,,,,,,
2020-01-10,41.5,41.5,40.78499984741211,41.02000045776367,41.02000045776367,758800,,,,,,,,
2020-01-13,41.06999969482422,41.650001525878906,40.189998626708984,41.380001068115234,41.380001068115234,1086000,,,,,,,,
2020-01-14,41.5,41.54999923706055,40.810001373291016,41.349998474121094,41.349998474121094,517300,,,,,,,,
2020-01-15,41.529998779296875,42.38999938964844,41.349998474121094,42.16999816894531,42.16999816894531,717400,,,,,,,,
2020-01-16,42.380001068115234,42.95000076293945,41.75,42.040000915527344,42.040000915527344,494900,,,,,,,,
2020-01-17,46.7599983215332,48.79999923706055,45.84000015258789,47.369998931884766,47.369998931884766,5202900,,,,,,,,
2020-01-21,47.36000061035156,47.36000061035156,45.869998931884766,46.459999084472656,46.459999084472656,1424800,,,,,,,,
2020-01-22,46.459999084472656,46.91999816894531,45.7599983215332,45.810001373291016,45.810001373291016,654100,,,,,,,,
2020-01-23,45.720001220703125,46.22999954223633,45.130001068115234,46.189998626708984,46.189998626708984,538200,,,,,,,,
2020-01-24,46.119998931884766,46.369998931884766,45.387001037597656,46.2599983215332,46.2599983215332,482900,,,,,,,,
2020-01-27,45.310001373291016,46.630001068115234,44.970001220703125,46.040000915527344,46.040000915527344,386300,,,,,,,,
2020-01-28,46.47999954223633,47.16999816894531,45.52000045776367,45.61000061035156,45.61000061035156,417300,,,,,,,,
2020-01-29,45.619998931884766,46.060001373291016,45.20000076293945,45.720001220703125,45.720001220703125,298400,,,,,,,,
2020-01-30,45.29999923706055,45.38999938964844,44.15999984741211,44.43000030517578,44.43000030517578,443200,,,,,,,,
