date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'NGL-PC')","('high', 'NGL-PC')","('low', 'NGL-PC')","('close', 'NGL-PC')","('adj_close', 'NGL-PC')","('volume', 'NGL-PC')","('currency', '')"
2020-01-02,25.540000915527344,25.641199111938477,25.446399688720703,25.62150001525879,13.413058280944824,16617,,,,,,,,
2020-01-03,25.649999618530273,25.75,25.6299991607666,25.739999771118164,13.475093841552734,4210,,,,,,,,
2020-01-06,25.670000076293945,25.899999618530273,25.600000381469727,25.899999618530273,13.558855056762695,19067,,,,,,,,
2020-01-07,25.950000762939453,25.950000762939453,25.844999313354492,25.915599822998047,13.567023277282715,8457,,,,,,,,
2020-01-08,25.9158992767334,26.0,25.9158992767334,26.0,13.6112060546875,12489,,,,,,,,
2020-01-09,26.100000381469727,26.5,25.665800094604492,25.799999237060547,13.50650405883789,42216,,,,,,,,
2020-01-10,25.950000762939453,26.0,25.700000762939453,25.700700759887695,13.454522132873535,18002,,,,,,,,
2020-01-13,25.899999618530273,25.899999618530273,25.799999237060547,25.873199462890625,13.54482650756836,8942,,,,,,,,
2020-01-14,25.889999389648438,26.049999237060547,25.809999465942383,26.049999237060547,13.637381553649902,2543,,,,,,,,
2020-01-15,25.8799991607666,26.05500030517578,25.8799991607666,25.950000762939453,13.585033416748047,15162,,,,,,,,
2020-01-16,25.959999084472656,26.100000381469727,25.88010025024414,25.940000534057617,13.579797744750977,7064,,,,,,,,
2020-01-17,26.062999725341797,26.15999984741211,25.920000076293945,25.97879981994629,13.600107192993164,17651,,,,,,,,
2020-01-21,25.919700622558594,26.06999969482422,25.739999771118164,25.979999542236328,13.600738525390625,21463,,,,,,,,
2020-01-22,26.15999984741211,26.15999984741211,25.8700008392334,25.90999984741211,13.564090728759766,10202,,,,,,,,
2020-01-23,25.989999771118164,25.989999771118164,25.780000686645508,25.8700008392334,13.54315185546875,4158,,,,,,,,
2020-01-24,25.8700008392334,26.000099182128906,25.8700008392334,26.0,13.6112060546875,4707,,,,,,,,
2020-01-27,25.799999237060547,25.924999237060547,25.789199829101562,25.892000198364258,13.554669380187988,4155,,,,,,,,
2020-01-28,25.855199813842773,26.0,25.829999923706055,25.950000762939453,13.585033416748047,7688,,,,,,,,
2020-01-29,26.0,26.134599685668945,26.0,26.100000381469727,13.663559913635254,4648,,,,,,,,
2020-01-30,26.000099182128906,26.08530044555664,26.000099182128906,26.049999237060547,13.637381553649902,9592,,,,,,,,
2020-01-31,26.049999237060547,26.104999542236328,25.770000457763672,25.78820037841797,13.500327110290527,17846,,,,,,,,
2020-02-03,25.83300018310547,25.956100463867188,25.83300018310547,25.920000076293945,13.569327354431152,7762,,,,,,,,
2020-02-04,26.0216007232666,26.06999969482422,25.75,25.959299087524414,13.589899063110352,3511,,,,,,,,
