date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LMAT')","('high', 'LMAT')","('low', 'LMAT')","('close', 'LMAT')","('adj_close', 'LMAT')","('volume', 'LMAT')","('currency', '')"
2020-01-02,36.16999816894531,36.16999816894531,35.34000015258789,35.79999923706055,33.73716735839844,81200,,,,,,,,
2020-01-03,35.41999816894531,36.29999923706055,35.08000183105469,36.189998626708984,34.10469055175781,97700,,,,,,,,
2020-01-06,35.959999084472656,36.41999816894531,35.810001373291016,36.349998474121094,34.25547409057617,72700,,,,,,,,
2020-01-07,36.279998779296875,36.75,36.099998474121094,36.720001220703125,34.604156494140625,141800,,,,,,,,
2020-01-08,36.709999084472656,37.279998779296875,36.279998779296875,37.0099983215332,34.87744140625,122400,,,,,,,,
2020-01-09,37.29999923706055,37.5,37.18000030517578,37.20000076293945,35.0565071105957,143600,,,,,,,,
2020-01-10,37.130001068115234,37.5,36.86000061035156,37.38999938964844,35.23554992675781,76400,,,,,,,,
2020-01-13,37.31999969482422,38.63999938964844,37.16999816894531,38.459999084472656,36.243896484375,138900,,,,,,,,
2020-01-14,38.29999923706055,38.5099983215332,37.66999816894531,37.7599983215332,35.584224700927734,73100,,,,,,,,
2020-01-15,37.599998474121094,38.150001525878906,36.970001220703125,37.599998474121094,35.43344497680664,56600,,,,,,,,
2020-01-16,37.720001220703125,37.810001373291016,36.77000045776367,37.0,34.86802673339844,164900,,,,,,,,
2020-01-17,37.0,37.31999969482422,36.75,36.869998931884766,34.745513916015625,87800,,,,,,,,
2020-01-21,36.7400016784668,37.290000915527344,36.470001220703125,36.95000076293945,34.82090759277344,97700,,,,,,,,
2020-01-22,37.08000183105469,37.25,36.54999923706055,36.810001373291016,34.68896484375,62100,,,,,,,,
2020-01-23,36.880001068115234,37.34000015258789,36.40999984741211,36.66999816894531,34.55704116821289,128000,,,,,,,,
2020-01-24,36.77000045776367,36.77000045776367,36.25,36.47999954223633,34.37798309326172,57200,,,,,,,,
2020-01-27,36.0,37.060001373291016,35.599998474121094,36.75,34.63241958618164,74100,,,,,,,,
2020-01-28,36.88999938964844,37.43000030517578,36.560001373291016,36.709999084472656,34.59473419189453,46500,,,,,,,,
2020-01-29,36.72999954223633,36.779998779296875,35.63999938964844,35.720001220703125,33.661781311035156,64400,,,,,,,,
2020-01-30,35.540000915527344,35.959999084472656,35.13999938964844,35.68000030517578,33.62407302856445,90100,,,,,,,,
