date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'OPFI')","('high', 'OPFI')","('low', 'OPFI')","('close', 'OPFI')","('adj_close', 'OPFI')","('volume', 'OPFI')","('currency', '')"
2020-11-20,9.899999618530273,10.100000381469727,9.779999732971191,9.850000381469727,9.155830383300781,954000,,,,,,,,
2020-11-23,9.850000381469727,9.949999809265137,9.850000381469727,9.890000343322754,9.193011283874512,146900,,,,,,,,
2020-11-24,9.859999656677246,9.989999771118164,9.850000381469727,9.989999771118164,9.28596305847168,165100,,,,,,,,
2020-11-25,9.984999656677246,9.984999656677246,9.859999656677246,9.949999809265137,9.248783111572266,74600,,,,,,,,
2020-11-27,9.899999618530273,9.9399995803833,9.859999656677246,9.869999885559082,9.174420356750488,32600,,,,,,,,
2020-11-30,9.869999885559082,10.0,9.869999885559082,9.880000114440918,9.1837158203125,96800,,,,,,,,
2020-12-01,9.859999656677246,10.305000305175781,9.859999656677246,9.90999984741211,9.211601257324219,56300,,,,,,,,
2020-12-02,9.899999618530273,9.920000076293945,9.890000343322754,9.899999618530273,9.202305793762207,42900,,,,,,,,
2020-12-03,9.899999618530273,9.970000267028809,9.899999618530273,9.949999809265137,9.248783111572266,4300,,,,,,,,
2020-12-04,9.975000381469727,10.02400016784668,9.90999984741211,9.949999809265137,9.248783111572266,42800,,,,,,,,
2020-12-07,10.0,10.0,9.920000076293945,9.949999809265137,9.248783111572266,11900,,,,,,,,
2020-12-08,9.949999809265137,10.074999809265137,9.949999809265137,9.970000267028809,9.267373085021973,38800,,,,,,,,
2020-12-09,10.180000305175781,10.180000305175781,9.970000267028809,10.119999885559082,9.4068021774292,507000,,,,,,,,
2020-12-10,10.020000457763672,10.069999694824219,10.020000457763672,10.069999694824219,9.360325813293457,544300,,,,,,,,
2020-12-11,10.222999572753906,10.222999572753906,10.069999694824219,10.09000015258789,9.37891674041748,423900,,,,,,,,
2020-12-14,10.119999885559082,10.1850004196167,10.013999938964844,10.079999923706055,9.369621276855469,312600,,,,,,,,
2020-12-15,10.170000076293945,10.199999809265137,10.079999923706055,10.119999885559082,9.4068021774292,353100,,,,,,,,
2020-12-16,10.100000381469727,10.140000343322754,10.100000381469727,10.140000343322754,9.425393104553223,146400,,,,,,,,
2020-12-17,10.140000343322754,10.140000343322754,10.140000343322754,10.140000343322754,9.425393104553223,0,,,,,,,,
2020-12-18,10.130000114440918,10.140000343322754,10.130000114440918,10.130000114440918,9.416097640991211,13700,,,,,,,,
