date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RI.PA')","('high', 'RI.PA')","('low', 'RI.PA')","('close', 'RI.PA')","('adj_close', 'RI.PA')","('volume', 'RI.PA')","('currency', '')"
2020-01-02,160.5500030517578,161.35000610351562,159.3000030517578,160.35000610351562,134.2789306640625,227270,,,,,,,,
2020-01-03,159.10000610351562,161.35000610351562,159.0,161.1999969482422,134.99073791503906,282424,,,,,,,,
2020-01-06,160.25,161.39999389648438,159.64999389648438,161.1999969482422,134.99073791503906,295830,,,,,,,,
2020-01-07,161.35000610351562,162.3000030517578,160.4499969482422,160.5500030517578,134.4464111328125,321216,,,,,,,,
2020-01-08,159.75,160.39999389648438,159.1999969482422,159.4499969482422,133.52528381347656,285332,,,,,,,,
2020-01-09,160.35000610351562,161.85000610351562,159.6999969482422,159.6999969482422,133.73460388183594,333605,,,,,,,,
2020-01-10,160.4499969482422,161.10000610351562,158.75,158.89999389648438,133.06468200683594,477889,,,,,,,,
2020-01-13,158.75,162.8000030517578,158.4499969482422,162.8000030517578,136.3306121826172,566073,,,,,,,,
2020-01-14,163.89999389648438,166.6999969482422,162.39999389648438,165.6999969482422,138.75909423828125,718596,,,,,,,,
2020-01-15,165.64999389648438,167.4499969482422,164.89999389648438,167.25,140.0570831298828,419557,,,,,,,,
2020-01-16,167.5500030517578,169.64999389648438,167.3000030517578,167.5,140.2664337158203,390909,,,,,,,,
2020-01-17,167.8000030517578,171.10000610351562,167.64999389648438,170.60000610351562,142.86241149902344,384182,,,,,,,,
2020-01-20,170.14999389648438,170.14999389648438,168.39999389648438,169.14999389648438,141.64816284179688,243492,,,,,,,,
2020-01-21,168.35000610351562,168.9499969482422,166.6999969482422,168.60000610351562,141.18760681152344,409821,,,,,,,,
2020-01-22,169.35000610351562,170.0,167.39999389648438,167.39999389648438,140.1826934814453,281387,,,,,,,,
2020-01-23,166.75,167.85000610351562,165.8000030517578,165.8000030517578,138.84283447265625,332946,,,,,,,,
2020-01-24,164.64999389648438,167.64999389648438,162.3000030517578,164.1999969482422,137.5029754638672,797817,,,,,,,,
2020-01-27,161.10000610351562,162.14999389648438,158.5,158.60000610351562,132.81346130371094,763093,,,,,,,,
2020-01-28,158.64999389648438,159.1999969482422,156.39999389648438,158.0,132.31101989746094,586634,,,,,,,,
2020-01-29,157.64999389648438,159.10000610351562,157.3000030517578,158.4499969482422,132.6878662109375,334878,,,,,,,,
2020-01-30,158.35000610351562,158.35000610351562,156.0500030517578,156.5500030517578,131.09677124023438,479252,,,,,,,,
