date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'SCMN.SW')","('high', 'SCMN.SW')","('low', 'SCMN.SW')","('close', 'SCMN.SW')","('adj_close', 'SCMN.SW')","('volume', 'SCMN.SW')","('currency', '')"
2020-01-03,515.5999755859375,516.0,510.3999938964844,515.2000122070312,402.8347473144531,139380,,,,,,,,
2020-01-06,513.0,518.5999755859375,511.3999938964844,517.5999755859375,404.7112731933594,152024,,,,,,,,
2020-01-07,517.4000244140625,522.0,517.2000122070312,518.5999755859375,405.4931945800781,118066,,,,,,,,
2020-01-08,517.0,519.2000122070312,515.7999877929688,518.7999877929688,405.64959716796875,120263,,,,,,,,
2020-01-09,522.0,524.0,519.7999877929688,520.0,406.587890625,117390,,,,,,,,
2020-01-10,521.5999755859375,522.2000122070312,518.7999877929688,518.7999877929688,405.64959716796875,89841,,,,,,,,
2020-01-13,519.7999877929688,520.0,516.7999877929688,519.2000122070312,405.96240234375,101978,,,,,,,,
2020-01-14,519.5999755859375,522.5999755859375,517.0,522.5999755859375,408.620849609375,104098,,,,,,,,
2020-01-15,523.2000122070312,523.7999877929688,517.7999877929688,518.2000122070312,405.18048095703125,135907,,,,,,,,
2020-01-16,518.0,523.0,517.2000122070312,523.0,408.93359375,134171,,,,,,,,
2020-01-17,523.0,524.0,519.2000122070312,523.0,408.93359375,187581,,,,,,,,
2020-01-20,523.4000244140625,527.2000122070312,523.2000122070312,526.0,411.2792663574219,197021,,,,,,,,
2020-01-21,526.0,530.2000122070312,522.0,529.7999877929688,414.25048828125,93779,,,,,,,,
2020-01-22,531.5999755859375,533.4000244140625,529.2000122070312,530.7999877929688,415.03240966796875,101562,,,,,,,,
2020-01-23,531.0,531.7999877929688,527.0,527.7999877929688,412.6866760253906,111465,,,,,,,,
2020-01-24,529.4000244140625,536.0,528.7999877929688,534.4000244140625,417.8472595214844,127132,,,,,,,,
2020-01-27,531.0,532.5999755859375,526.5999755859375,528.0,412.8430480957031,139151,,,,,,,,
2020-01-28,531.0,538.5999755859375,530.0,536.5999755859375,419.5673828125,173397,,,,,,,,
2020-01-29,536.0,539.0,534.7999877929688,537.4000244140625,420.1929626464844,114271,,,,,,,,
2020-01-30,534.5999755859375,537.2000122070312,529.2000122070312,535.5999755859375,418.7854919433594,135757,,,,,,,,
2020-01-31,536.7999877929688,538.4000244140625,529.5999755859375,529.5999755859375,414.0940856933594,163355,,,,,,,,
2020-02-03,530.2000122070312,532.7999877929688,530.0,531.0,415.18878173828125,115057,,,,,,,,
2020-02-04,533.4000244140625,534.5999755859375,529.7999877929688,531.4000244140625,415.5015563964844,188565,,,,,,,,
2020-02-05,530.2000122070312,534.4000244140625,528.7999877929688,533.5999755859375,417.2216796875,192431,,,,,,,,
2020-02-06,533.0,547.7999877929688,532.7999877929688,547.5999755859375,428.1683044433594,330313,,,,,,,,
2020-02-07,547.4000244140625,562.0,547.0,561.4000244140625,438.9585876464844,385704,,,,,,,,
2020-02-10,560.7999877929688,563.5999755859375,557.4000244140625,563.0,440.20953369140625,197982,,,,,,,,
