date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'MAGN')","('high', 'MAGN')","('low', 'MAGN')","('close', 'MAGN')","('adj_close', 'MAGN')","('volume', 'MAGN')","('currency', '')"
2020-01-02,238.16000366210938,239.07000732421875,231.00999450683594,232.57000732421875,209.5577392578125,14915,,,,,,,,
2020-01-03,228.14999389648438,232.44000244140625,227.3699951171875,229.32000732421875,206.6293182373047,16762,,,,,,,,
2020-01-06,226.97999572753906,227.88999938964844,219.9600067138672,221.77999877929688,199.8353729248047,16046,,,,,,,,
2020-01-07,220.08999633789062,225.16000366210938,219.44000244140625,223.33999633789062,201.24099731445312,16923,,,,,,,,
2020-01-08,223.33999633789062,228.5399932861328,223.33999633789062,227.88999938964844,205.3408203125,10931,,,,,,,,
2020-01-09,228.14999389648438,229.4499969482422,225.4199981689453,226.1999969482422,203.81800842285156,11500,,,,,,,,
2020-01-10,227.6300048828125,229.97000122070312,221.1300048828125,221.52000427246094,199.60108947753906,9577,,,,,,,,
2020-01-13,221.25999450683594,225.94000244140625,219.6999969482422,225.80999755859375,203.4666290283203,11569,,,,,,,,
2020-01-14,225.4199981689453,227.11000061035156,223.47000122070312,226.85000610351562,204.40370178222656,12038,,,,,,,,
2020-01-15,225.4199981689453,228.92999267578125,223.47000122070312,225.80999755859375,203.4666290283203,26362,,,,,,,,
2020-01-16,227.5,235.9499969482422,226.72000122070312,235.3000030517578,212.01760864257812,12831,,,,,,,,
2020-01-17,236.99000549316406,236.99000549316406,231.9199981689453,232.30999755859375,209.32347106933594,8985,,,,,,,,
2020-01-21,228.92999267578125,232.30999755859375,220.74000549316406,222.0399932861328,200.0696563720703,12108,,,,,,,,
2020-01-22,222.42999267578125,225.02999877929688,220.8699951171875,224.3800048828125,202.1781005859375,7408,,,,,,,,
2020-01-23,223.0800018310547,228.5399932861328,219.8300018310547,228.41000366210938,205.80935668945312,31446,,,,,,,,
2020-01-24,226.85000610351562,229.7100067138672,219.0500030517578,221.0,199.13255310058594,12962,,,,,,,,
2020-01-27,214.5,224.25,213.97999572753906,221.0,199.13255310058594,10485,,,,,,,,
2020-01-28,223.99000549316406,223.99000549316406,220.74000549316406,221.38999938964844,199.4839630126953,8792,,,,,,,,
