date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'IHRTB')","('high', 'IHRTB')","('low', 'IHRTB')","('close', 'IHRTB')","('adj_close', 'IHRTB')","('volume', 'IHRTB')","('currency', '')"
2020-12-22,12.0,12.0,12.0,12.0,12.0,1816,,,,,,,,
2020-12-23,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2020-12-24,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2020-12-28,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2020-12-29,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2020-12-30,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2020-12-31,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-04,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-05,12.0,12.0,12.0,12.0,12.0,500,,,,,,,,
2021-01-06,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-07,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-08,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-11,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-12,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-13,12.0,12.0,12.0,12.0,12.0,411,,,,,,,,
2021-01-14,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-15,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-19,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-20,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-21,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-22,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-25,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-26,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-27,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-28,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-01-29,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-01,12.0,12.0,12.0,12.0,12.0,139,,,,,,,,
2021-02-02,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-03,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-04,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-05,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-08,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-09,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-10,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-11,12.0,12.0,12.0,12.0,12.0,0,,,,,,,,
2021-02-12,13.0,13.0,13.0,13.0,13.0,400,,,,,,,,
2021-02-16,13.0,13.0,13.0,13.0,13.0,226,,,,,,,,
2021-02-17,13.0,13.0,13.0,13.0,13.0,0,,,,,,,,
2021-02-18,13.25,13.25,13.25,13.25,13.25,160,,,,,,,,
2021-02-19,13.25,13.25,13.25,13.25,13.25,0,,,,,,,,
2021-02-22,13.25,13.25,13.25,13.25,13.25,0,,,,,,,,
2021-02-23,13.25,13.25,13.25,13.25,13.25,0,,,,,,,,
2021-02-24,13.25,13.25,13.25,13.25,13.25,0,,,,,,,,
2021-02-25,13.25,13.25,13.25,13.25,13.25,0,,,,,,,,
2021-02-26,13.25,13.25,13.25,13.25,13.25,0,,,,,,,,
2021-03-01,12.300000190734863,12.300000190734863,12.300000190734863,12.300000190734863,12.300000190734863,376,,,,,,,,
