date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'RGR')","('high', 'RGR')","('low', 'RGR')","('close', 'RGR')","('adj_close', 'RGR')","('volume', 'RGR')","('currency', '')"
2020-01-02,47.279998779296875,47.31999969482422,46.79999923706055,47.16999816894531,34.523597717285156,113700,,,,,,,,
2020-01-03,46.709999084472656,47.72999954223633,46.58000183105469,47.59000015258789,34.83099365234375,157500,,,,,,,,
2020-01-06,47.310001373291016,48.790000915527344,47.220001220703125,48.54999923706055,35.53361511230469,134700,,,,,,,,
2020-01-07,48.43000030517578,48.65999984741211,48.0099983215332,48.31999969482422,35.36527633666992,86600,,,,,,,,
2020-01-08,48.16999816894531,49.400001525878906,48.16999816894531,49.20000076293945,36.00935363769531,114300,,,,,,,,
2020-01-09,49.20000076293945,49.20000076293945,48.0099983215332,48.72999954223633,35.66535186767578,169900,,,,,,,,
2020-01-10,48.54999923706055,48.83000183105469,48.150001525878906,48.65999984741211,35.6141242980957,97900,,,,,,,,
2020-01-13,48.66999816894531,49.58000183105469,48.4900016784668,49.5,36.228919982910156,120400,,,,,,,,
2020-01-14,49.5,50.33000183105469,49.18000030517578,50.15999984741211,36.711971282958984,124600,,,,,,,,
2020-01-15,50.189998626708984,51.11000061035156,50.189998626708984,50.9900016784668,37.31944274902344,110200,,,,,,,,
2020-01-16,51.209999084472656,51.65999984741211,50.900001525878906,51.560001373291016,37.73662567138672,138500,,,,,,,,
2020-01-17,51.77000045776367,51.88999938964844,50.43000030517578,50.47999954223633,36.946170806884766,107800,,,,,,,,
2020-01-21,50.349998474121094,50.5099983215332,49.400001525878906,50.13999938964844,36.69732666015625,118600,,,,,,,,
2020-01-22,50.20000076293945,50.349998474121094,49.720001220703125,49.83000183105469,36.4704475402832,87300,,,,,,,,
2020-01-23,49.81999969482422,50.150001525878906,49.38999938964844,50.04999923706055,36.63146209716797,126000,,,,,,,,
2020-01-24,50.25,50.25,49.279998779296875,49.5099983215332,36.23623275756836,59200,,,,,,,,
2020-01-27,48.7400016784668,49.77000045776367,48.709999084472656,49.33000183105469,36.1045036315918,71000,,,,,,,,
2020-01-28,49.630001068115234,49.900001525878906,49.369998931884766,49.869998931884766,36.49972152709961,61400,,,,,,,,
2020-01-29,50.0,50.290000915527344,49.529998779296875,50.060001373291016,36.63877868652344,107100,,,,,,,,
2020-01-30,49.86000061035156,50.869998931884766,49.45000076293945,50.25,36.77785110473633,107500,,,,,,,,
