date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ICLR')","('high', 'ICLR')","('low', 'ICLR')","('close', 'ICLR')","('adj_close', 'ICLR')","('volume', 'ICLR')","('currency', '')"
2020-01-02,172.75,173.0,168.58999633789062,169.52999877929688,169.52999877929688,365700,,,,,,,,
2020-01-03,168.19000244140625,168.5399932861328,165.94000244140625,168.08999633789062,168.08999633789062,332900,,,,,,,,
2020-01-06,166.8000030517578,171.35000610351562,166.35000610351562,170.7899932861328,170.7899932861328,361200,,,,,,,,
2020-01-07,171.00999450683594,171.42999267578125,168.72999572753906,168.8699951171875,168.8699951171875,166600,,,,,,,,
2020-01-08,169.4600067138672,171.1300048828125,168.8000030517578,168.9499969482422,168.9499969482422,150200,,,,,,,,
2020-01-09,169.8000030517578,169.8000030517578,167.27999877929688,167.6699981689453,167.6699981689453,250800,,,,,,,,
2020-01-10,168.9499969482422,169.94000244140625,167.77999877929688,168.27999877929688,168.27999877929688,190600,,,,,,,,
2020-01-13,168.4600067138672,169.39999389648438,167.5399932861328,168.67999267578125,168.67999267578125,286100,,,,,,,,
2020-01-14,169.22000122070312,171.7100067138672,167.92999267578125,169.5399932861328,169.5399932861328,239400,,,,,,,,
2020-01-15,170.4600067138672,172.27000427246094,169.32000732421875,171.60000610351562,171.60000610351562,303500,,,,,,,,
2020-01-16,173.08999633789062,175.1999969482422,171.77999877929688,175.1199951171875,175.1199951171875,303100,,,,,,,,
2020-01-17,176.3000030517578,176.3000030517578,173.92999267578125,175.77999877929688,175.77999877929688,225400,,,,,,,,
2020-01-21,175.97999572753906,176.97999572753906,173.77999877929688,174.25,174.25,210100,,,,,,,,
2020-01-22,174.8699951171875,176.02999877929688,172.82000732421875,175.25,175.25,194300,,,,,,,,
2020-01-23,175.35000610351562,175.35000610351562,173.13999938964844,174.7899932861328,174.7899932861328,123500,,,,,,,,
2020-01-24,175.63999938964844,176.0800018310547,174.6699981689453,174.9499969482422,174.9499969482422,198100,,,,,,,,
2020-01-27,172.3000030517578,174.77000427246094,170.66000366210938,171.82000732421875,171.82000732421875,232900,,,,,,,,
