date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'PUGBY')","('high', 'PUGBY')","('low', 'PUGBY')","('close', 'PUGBY')","('adj_close', 'PUGBY')","('volume', 'PUGBY')","('currency', '')"
2024-07-17,13.899999618530273,14.899999618530273,13.819999694824219,14.0,13.817936897277832,10102,,,,,,,,
2024-07-18,14.069999694824219,14.350000381469727,14.050000190734863,14.220000267028809,14.035076141357422,17127,,,,,,,,
2024-07-19,14.760000228881836,14.760000228881836,14.25,14.520000457763672,14.331175804138184,40350,,,,,,,,
2024-07-22,14.515000343322754,14.6899995803833,14.515000343322754,14.619999885559082,14.429874420166016,109069,,,,,,,,
2024-07-23,14.694999694824219,14.694999694824219,14.263999938964844,14.263999938964844,14.078503608703613,111840,,,,,,,,
2024-07-24,14.34000015258789,14.34000015258789,14.34000015258789,14.34000015258789,14.153515815734863,12388,,,,,,,,
2024-07-25,13.850000381469727,13.850000381469727,13.850000381469727,13.850000381469727,13.669888496398926,750,,,,,,,,
2024-07-26,13.789999961853027,13.989999771118164,13.789999961853027,13.827099800109863,13.647285461425781,1540,,,,,,,,
2024-07-29,13.779999732971191,13.779999732971191,13.779999732971191,13.779999732971191,13.600797653198242,1958,,,,,,,,
2024-07-30,13.920000076293945,13.920000076293945,13.920000076293945,13.920000076293945,13.738977432250977,1040,,,,,,,,
2024-07-31,14.050000190734863,14.050000190734863,13.954999923706055,13.954999923706055,13.77352237701416,494,,,,,,,,
2024-08-01,13.528010368347168,13.528010368347168,13.449999809265137,13.449999809265137,13.275089263916016,37202,,,,,,,,
2024-08-05,12.939693450927734,13.09000015258789,12.75,12.75,12.584193229675293,598971,,,,,,,,
2024-08-06,13.350000381469727,13.350000381469727,12.84000015258789,12.84000015258789,12.673022270202637,171951,,,,,,,,
2024-08-07,12.369999885559082,13.039999961853027,12.319999694824219,12.569999694824219,12.406533241271973,703260,,,,,,,,
2024-08-08,12.979999542236328,12.979999542236328,12.645000457763672,12.645000457763672,12.480558395385742,205395,,,,,,,,
