date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'ESLT')","('high', 'ESLT')","('low', 'ESLT')","('close', 'ESLT')","('adj_close', 'ESLT')","('volume', 'ESLT')","('currency', '')"
2020-01-02,156.0,158.39999389648438,155.77999877929688,158.17999267578125,148.894775390625,24600,,,,,,,,
2020-01-03,158.27999877929688,158.32000732421875,157.27999877929688,158.27999877929688,148.9889373779297,14800,,,,,,,,
2020-01-06,161.60000610351562,163.17999267578125,161.22999572753906,163.17999267578125,153.60128784179688,21200,,,,,,,,
2020-01-07,161.1999969482422,161.3699951171875,159.2100067138672,159.2100067138672,149.86431884765625,15900,,,,,,,,
2020-01-08,158.9499969482422,159.77999877929688,158.55999755859375,159.02000427246094,149.6855010986328,14400,,,,,,,,
2020-01-09,156.9499969482422,159.35000610351562,156.58999633789062,158.88999938964844,149.5631103515625,14300,,,,,,,,
2020-01-10,158.91000366210938,159.10000610351562,158.0800018310547,158.35000610351562,149.05477905273438,12000,,,,,,,,
2020-01-13,159.22999572753906,161.8800048828125,158.7899932861328,161.8800048828125,152.37762451171875,11400,,,,,,,,
2020-01-14,162.25,162.25,159.10000610351562,159.10000610351562,149.76080322265625,11700,,,,,,,,
2020-01-15,157.39999389648438,158.52999877929688,157.39999389648438,158.02000427246094,148.7441864013672,13200,,,,,,,,
2020-01-16,155.88999938964844,157.92999267578125,155.47999572753906,157.41000366210938,148.17001342773438,17700,,,,,,,,
2020-01-17,157.5,158.32000732421875,156.5,156.74000549316406,147.53932189941406,7400,,,,,,,,
2020-01-21,156.5,156.74000549316406,155.25999450683594,155.7100067138672,146.56973266601562,17600,,,,,,,,
2020-01-22,155.4600067138672,156.0,154.7100067138672,155.58999633789062,146.4568328857422,13200,,,,,,,,
2020-01-23,154.02999877929688,155.3800048828125,153.7899932861328,155.1699981689453,146.06146240234375,11700,,,,,,,,
2020-01-24,154.74000549316406,155.3800048828125,153.6999969482422,153.82000732421875,144.79075622558594,8300,,,,,,,,
2020-01-27,153.88999938964844,156.02999877929688,153.47999572753906,155.47000122070312,146.34388732910156,26200,,,,,,,,
2020-01-28,157.0,158.13999938964844,155.66000366210938,157.8699951171875,148.60293579101562,25800,,,,,,,,
2020-01-29,158.0,158.47000122070312,156.13999938964844,156.22000122070312,147.04981994628906,22900,,,,,,,,
2020-01-30,154.17999267578125,155.0,153.17999267578125,154.35000610351562,145.2895965576172,15100,,,,,,,,
2020-01-31,153.77999877929688,154.5,152.35000610351562,152.35000610351562,143.4070281982422,10800,,,,,,,,
2020-02-03,149.05999755859375,151.44000244140625,149.05999755859375,150.74000549316406,141.89154052734375,23500,,,,,,,,
2020-02-04,151.47999572753906,152.9600067138672,151.47999572753906,152.4499969482422,143.5011444091797,11100,,,,,,,,
2020-02-05,154.1999969482422,155.11000061035156,153.61000061035156,154.7899932861328,145.70376586914062,15600,,,,,,,,
2020-02-06,155.72000122070312,155.85000610351562,154.52000427246094,154.83999633789062,145.75086975097656,12400,,,,,,,,
2020-02-07,154.27000427246094,154.97999572753906,154.13999938964844,154.19000244140625,145.13902282714844,5000,,,,,,,,
2020-02-10,152.6199951171875,155.88999938964844,152.6199951171875,155.42999267578125,146.30621337890625,9400,,,,,,,,
2020-02-11,157.61000061035156,159.0,157.61000061035156,158.2100067138672,148.9230499267578,11400,,,,,,,,
2020-02-12,158.75999450683594,160.14999389648438,158.44000244140625,159.44000244140625,150.0808868408203,13300,,,,,,,,
2020-02-13,157.07000732421875,157.64999389648438,155.5,157.2100067138672,147.98175048828125,11400,,,,,,,,
2020-02-14,157.4499969482422,158.27999877929688,157.1300048828125,157.94000244140625,148.66888427734375,9000,,,,,,,,
2020-02-18,162.36000061035156,163.80999755859375,162.27000427246094,162.52999877929688,152.9894561767578,13800,,,,,,,,
2020-02-19,162.25999450683594,163.10000610351562,162.02000427246094,162.3800048828125,152.84823608398438,8100,,,,,,,,
2020-02-20,159.22000122070312,161.33999633789062,157.64999389648438,158.3800048828125,149.08306884765625,16500,,,,,,,,
2020-02-21,157.88999938964844,158.47999572753906,157.6699981689453,158.2899932861328,148.99832153320312,7800,,,,,,,,
2020-02-24,155.10000610351562,156.88999938964844,155.00999450683594,155.69000244140625,146.5509490966797,12400,,,,,,,,
2020-02-25,155.0399932861328,155.0399932861328,150.1699981689453,150.39999389648438,141.5714874267578,15800,,,,,,,,
