date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'GYRE')","('high', 'GYRE')","('low', 'GYRE')","('close', 'GYRE')","('adj_close', 'GYRE')","('volume', 'GYRE')","('currency', '')"
2020-01-02,102.1500015258789,103.94999694824219,95.69999694824219,97.5,15.867083549499512,15013,,,,,,,,
2020-01-03,96.75,98.8499984741211,94.94999694824219,97.94999694824219,15.940316200256348,8720,,,,,,,,
2020-01-06,97.3499984741211,97.80000305175781,94.94999694824219,96.75,15.745028495788574,6727,,,,,,,,
2020-01-07,96.75,99.30000305175781,95.25,98.0999984741211,15.964726448059082,5213,,,,,,,,
2020-01-08,97.6500015258789,99.0,95.69999694824219,98.4000015258789,16.0135498046875,7640,,,,,,,,
2020-01-09,97.6500015258789,103.94999694824219,97.6500015258789,99.75,16.233247756958008,8953,,,,,,,,
2020-01-10,99.9000015258789,102.30000305175781,99.30000305175781,100.80000305175781,16.404123306274414,5053,,,,,,,,
2020-01-13,100.19999694824219,103.80000305175781,99.30000305175781,101.8499984741211,16.57499885559082,7620,,,,,,,,
2020-01-14,101.69999694824219,107.4000015258789,101.55000305175781,103.3499984741211,16.819108963012695,7807,,,,,,,,
2020-01-15,102.75,112.05000305175781,102.75,109.3499984741211,17.795543670654297,14767,,,,,,,,
2020-01-16,109.5,111.1500015258789,108.5999984741211,109.80000305175781,17.868778228759766,12060,,,,,,,,
2020-01-17,109.80000305175781,112.19999694824219,108.44999694824219,110.69999694824219,18.015241622924805,10253,,,,,,,,
2020-01-21,110.25,111.75,105.30000305175781,106.94999694824219,17.404970169067383,5960,,,,,,,,
2020-01-22,106.5,107.8499984741211,105.30000305175781,107.8499984741211,17.551435470581055,5200,,,,,,,,
2020-01-23,106.94999694824219,106.94999694824219,101.25,102.75,16.721466064453125,9247,,,,,,,,
2020-01-24,103.5,103.5,97.80000305175781,100.80000305175781,16.404123306274414,5980,,,,,,,,
2020-01-27,98.55000305175781,100.5,97.19999694824219,97.94999694824219,15.940316200256348,3500,,,,,,,,
2020-01-28,98.8499984741211,101.55000305175781,97.6500015258789,100.5,16.355300903320312,3827,,,,,,,,
2020-01-29,101.69999694824219,107.25,101.69999694824219,107.25,17.453792572021484,7800,,,,,,,,
2020-01-30,107.25,115.05000305175781,107.25,112.6500015258789,18.332584381103516,20580,,,,,,,,
2020-01-31,112.80000305175781,112.80000305175781,103.6500015258789,106.5,17.331737518310547,10340,,,,,,,,
2020-02-03,107.69999694824219,116.69999694824219,104.55000305175781,110.0999984741211,17.917598724365234,16320,,,,,,,,
2020-02-04,113.25,115.3499984741211,111.75,112.5,18.30817413330078,9507,,,,,,,,
2020-02-05,115.05000305175781,116.69999694824219,111.0,113.4000015258789,18.454639434814453,7633,,,,,,,,
2020-02-06,115.05000305175781,115.05000305175781,110.0999984741211,112.80000305175781,18.356996536254883,4987,,,,,,,,
2020-02-07,116.25,134.10000610351562,108.75,127.6500015258789,20.77367401123047,66853,,,,,,,,
2020-02-10,126.1500015258789,127.94999694824219,117.30000305175781,127.5,20.749263763427734,19880,,,,,,,,
2020-02-11,126.44999694824219,129.89999389648438,121.94999694824219,122.8499984741211,19.992525100708008,8293,,,,,,,,
2020-02-12,120.44999694824219,125.55000305175781,119.4000015258789,119.8499984741211,19.50430679321289,12073,,,,,,,,
2020-02-13,100.05000305175781,102.5999984741211,92.69999694824219,97.5,15.867083549499512,203120,,,,,,,,
2020-02-14,97.6500015258789,99.0,95.8499984741211,98.4000015258789,16.0135498046875,26507,,,,,,,,
2020-02-18,98.4000015258789,100.3499984741211,96.9000015258789,98.25,15.98913860321045,26400,,,,,,,,
2020-02-19,98.69999694824219,100.80000305175781,96.1500015258789,97.80000305175781,15.915905952453613,19380,,,,,,,,
2020-02-20,98.25,104.0999984741211,98.0999984741211,102.44999694824219,16.672643661499023,31947,,,,,,,,
2020-02-21,101.55000305175781,110.0999984741211,98.8499984741211,106.19999694824219,17.282915115356445,53647,,,,,,,,
2020-02-24,105.0,105.0,95.4000015258789,95.55000305175781,15.549742698669434,27800,,,,,,,,
2020-02-25,96.1500015258789,97.19999694824219,91.5,92.69999694824219,15.085933685302734,24727,,,,,,,,
2020-02-26,92.0999984741211,93.75,89.0999984741211,92.0999984741211,14.988290786743164,21753,,,,,,,,
2020-02-27,88.6500015258789,88.80000305175781,84.0,85.6500015258789,13.93862247467041,31687,,,,,,,,
2020-02-28,82.80000305175781,87.1500015258789,81.1500015258789,86.55000305175781,14.085088729858398,18160,,,,,,,,
2020-03-02,86.69999694824219,89.0999984741211,84.1500015258789,87.1500015258789,14.182731628417969,16707,,,,,,,,
2020-03-03,87.44999694824219,91.94999694824219,84.1500015258789,84.5999984741211,13.767745971679688,24780,,,,,,,,
2020-03-04,86.69999694824219,91.05000305175781,86.4000015258789,90.44999694824219,14.719771385192871,11367,,,,,,,,
2020-03-05,88.5,94.3499984741211,88.5,90.1500015258789,14.670949935913086,7800,,,,,,,,
2020-03-06,88.19999694824219,90.1500015258789,83.55000305175781,85.5,13.914212226867676,12087,,,,,,,,
2020-03-09,79.6500015258789,82.6500015258789,76.94999694824219,78.0,12.6936674118042,10920,,,,,,,,
2020-03-10,79.94999694824219,82.05000305175781,75.5999984741211,78.0,12.6936674118042,17420,,,,,,,,
2020-03-11,75.9000015258789,77.25,70.19999694824219,72.44999694824219,11.7904634475708,15967,,,,,,,,
2020-03-12,67.19999694824219,69.5999984741211,55.04999923706055,55.04999923706055,8.958799362182617,33167,,,,,,,,
2020-03-13,59.70000076293945,61.95000076293945,55.79999923706055,61.95000076293945,10.081701278686523,22600,,,,,,,,
2020-03-16,59.25,62.849998474121094,55.04999923706055,55.5,9.032032012939453,19600,,,,,,,,
2020-03-17,55.04999923706055,60.45000076293945,54.45000076293945,57.45000076293945,9.349373817443848,20287,,,,,,,,
2020-03-18,57.29999923706055,61.5,51.599998474121094,52.5,8.543814659118652,16473,,,,,,,,
2020-03-19,52.95000076293945,60.75,51.45000076293945,56.54999923706055,9.202908515930176,9720,,,,,,,,
2020-03-20,57.150001525878906,62.099998474121094,56.099998474121094,58.04999923706055,9.447017669677734,18220,,,,,,,,
2020-03-23,58.20000076293945,61.650001525878906,55.04999923706055,58.5,9.52025032043457,8820,,,,,,,,
2020-03-24,62.400001525878906,66.5999984741211,59.849998474121094,66.30000305175781,10.789616584777832,19387,,,,,,,,
2020-03-25,66.30000305175781,72.30000305175781,64.94999694824219,68.69999694824219,11.180191040039062,30853,,,,,,,,
2020-03-26,69.0,72.0,67.5,70.3499984741211,11.448710441589355,24027,,,,,,,,
2020-03-27,67.94999694824219,73.19999694824219,64.6500015258789,70.6500015258789,11.497532844543457,11680,,,,,,,,
2020-03-30,72.0,72.0,66.1500015258789,67.3499984741211,10.960493087768555,4133,,,,,,,,
