Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
WPP,WPP,Business description unavailable.,USD,22.91,22.91,2025-12-30,17.62,2025-11-06,-5.7,67.72,2022-02-09,17.62,2025-11-06,74.0,663893,0.0358,2025-12-30,54.0,2025-12-30,54.0,17.62,2025-11-06,2025-12-30,True
ENGI.PA,ENGI.PA,Business description unavailable.,EUR,22.35,,2025-12-31,14.19,2025-01-27,20.2,22.41,2025-12-30,,,,3721603,0.0088,,,2025-05-20,113.0,17.19,2025-04-17,2025-12-30,True
WPPGF,WPPGF,Business description unavailable.,USD,4.76,4.76,2025-12-30,3.62,2025-11-14,-5.1,13.84,2022-02-15,3.62,2025-11-14,73.8,2920,0.036,2025-12-30,46.0,2025-12-30,46.0,3.62,2025-11-14,2025-12-30,True
COLD,COLD,Business description unavailable.,USD,13.36,13.36,2025-12-30,10.12,2025-11-20,8.5,34.62,2021-07-20,10.12,2025-11-20,70.8,6902716,0.0276,2025-12-30,40.0,2025-12-30,40.0,10.12,2025-11-20,2025-12-30,True
CNXC,CNXC,Business description unavailable.,USD,41.73,41.73,2025-12-30,32.5,2025-11-18,-12.8,192.98,2022-02-09,32.5,2025-11-18,83.2,1095906,0.0236,2025-12-29,41.0,2025-12-29,41.0,32.5,2025-11-18,2025-12-29,True
DLMAF,DLMAF,Business description unavailable.,USD,150.43,150.43,2025-12-30,92.05,2025-01-17,15.6,160.86,2025-12-26,,,,8066,0.0163,,,2025-04-14,87.0,116.91,2025-05-14,2025-12-26,True
FRFHF,FRFHF,Business description unavailable.,USD,1916.53,1916.53,2025-12-30,1325.53,2025-01-13,10.0,1916.53,2025-12-30,,,,9663,0.0138,,,2025-06-13,151.0,1457.89,2025-04-14,2025-12-26,True
CRERF,CRERF,Business description unavailable.,USD,16.68,16.68,2025-12-30,11.61,2025-02-20,10.4,18.42,2022-04-19,11.61,2025-02-20,36.9,890,0.0244,2025-05-22,91.0,2025-05-22,91.0,13.6,2025-04-15,2025-12-26,True
KRUS,KRUS,Business description unavailable.,USD,51.44,51.44,2025-12-30,41.46,2025-04-08,-11.8,119.98,2024-03-27,41.46,2025-04-08,65.4,320680,0.0393,2025-04-09,1.0,2025-04-09,1.0,42.67,2025-11-20,2025-12-26,True
FFA,FFA,Business description unavailable.,USD,21.92,21.92,2025-12-30,15.7,2025-04-07,2.8,21.92,2025-12-30,,,,20730,0.0075,,,2025-08-13,128.0,16.64,2025-04-21,2025-12-24,True
